TransportTaxiEstimateTravelTimeQ,TransportTaxiEstimateTravelTimeOrigin,TransportTaxiEstimateTravelTimeDestination,TransportTaxiEstimateTravelTimeTaxiType
pool travel time for los angles,,los angles,pool
"Hey Aneeda, how long will it take a Uber to send me from my home to Reagan Airport?",home,Reagan Airport,Uber
How long will it take to reach MG road in a Ubergo,,MG road,Ubergo
What is the ETA for an Uber from here to Wegmans,here,Wegmans,Uber
How long will it take for a Ola outstation cab service to reach Bangalore from Chennai?,Chennai,Bangalore,Ola
How long would it take to reach Myrtle Beach by Uber?,,Myrtle Beach,Uber
When will I arrive at 329 Locust street via Uber?,,329 Locust street,Uber
How long will it take Uber to get to the airport,,airport,Uber
How long is an Uber ride to Times Square,,Times Square,Uber
How long would it take to get from here to Washington Square Mall by Uber?,here,Washington Square Mall,Uber
how long for an uber to the denver museum,,denver museum,uber
estimated travel time to big ben with uber,,big ben,uber
How long would Uber take to get to city park?,,city park,Uber
how long for uber to take me to home,,home,uber
How long Uber to reach 7th and Grand ave?,,7th and Grand ave,Uber
How long would it take uber to get me to Ashley Park.,,Ashley Park,uber
how long is an uber from here to work,here,work,uber
How long will it take to get to Central Park by Uber?,,Central Park,Uber
What is the travel time for Uber from my house to the airport?,my house,airport,uber
How long would it take to Uber to Parker Square?,,Parker Square,Uber
Travel time to Museum of Modern Art via Uber,,Museum of Modern Art,Uber
when will I get to Times Square by Uber,,Times Square,Uber
How long would it take for an Uber to take me to the Troy Public Library on Big Beaver Road?,,Troy Public Library on Big Beaver Road,Uber
Search for me the estimated travel time by Uber to reach Empire State Building,,Empire State Building,Uber
show uber estimated time to wallstreet,,wallstreet,uber
How long will it take me to Uber to Little Ceasers?,,Little Ceasers,Uber
Get estimated travel time to get to Barclays Center on Uber,,Barclays Center,Uber
What is my estimated travel time taking an Uber from Point Egg to Street Salad,Point Egg,Street Salad,Uber
Aneeda how long would an UberX take to get me to Lincoln Financial?,,Lincoln Financial,UberX
What is the ETA by Uber cabs to reach Shamshabad Airport from Charminar.,Charminar,Shamshabad Airport,Uber
How long to reach the Key Arena with Lyft,,Key Arena,Lyft
how long to get to walmart via uber,,walmart,uber
How long will it take me to Uber Downtown?,,Downtown,Uber
What is the estimated travel time that is needed for uber to reach New York,,New York,uber
How long will it take for me to Uber to Manhattan Beach?,,Manhattan Beach,Uber
how long will it take an uber to get to broadway,,broadway,uber
How long will take for an Uber SUV to reach Ring Road in Marina Circuit,,Ring Road in Marina Circuit,Uber SUV
How much time will it take to reach Clarke Quay using Uber,,Clarke Quay,Uber
How long would I take if I took Uber to 530 Randall Road?,,530 Randall Road,Uber
Show me the estimated time to reach LAX using Uber.,,LAX,Uber
How long does it take to get to McDonalds in an Uber?,,McDonalds,Uber
Provide the estimated travel time by Uber Suv service to M.G Road,,M.G Road,Uber Suv
"Aneeda, how long will it take to get me an Uber to Central Park?",,Central Park,Uber
How long will it take an Uber to take me to Verizon Center,,Verizon Center,Uber
"Open Uber, estimate travel time from here to hospital",here,hospital,Uber
How long will it take Uber to get to 9th and Main?,,9th and Main,Uber
Get the estimated travel time for Chandigarh to Panchkula in Pool.,,Panchkula,Pool
How long will it take for an Uber to drive me to The Eiffel Tower?,,Eiffel Tower,Uber
"How long would it take for an UBER to get me to the Discovery Place in uptown Charlotte, North Carolina?",,"Discovery Place in uptown Charlotte, North Carolina",UBER
Get me travel time estimate to whitehouse using uber service,,whitehouse,uber
How long would it take to get to Grand Central Station by Uber from my current location?,current location,Grand Central Station,Uber
how long does it take a uber to arrived to empire state building,,empire state building,uber
how long will it take to get to times square using uber,,times square,uber
How long would it take for Uber to get me to 24th street?,,24th street,Uber
Estimated travel time by Uber to Beardsley Zoo,,Beardsley Zoo,Uber
Give estimated travel time to the airport by Uber Suv,,airport,Uber Suv
how long will it take me to get an Uber to penryn?,,penryn,Uber
how long does trenitalia takes to reach rome from bologna?,bologna,rome,trenitalia
How long does it take to get to 4th and Main by Uber?,,4th and Main,Uber
How long would it take me to get to Boston with Uber?,,Boston,Uber
Travel time of Lyft Line to the Statue of Liberty.,,Statue of Liberty,Lyft Line
Uber tell me the estimated travel time from 5605 148 Street to 1450 Jasper Ave in Edmonton.,5605 148 Street ,1450 Jasper Ave in Edmonton,Uber
How long would it take Uber to reach the movie theater,,movie theater,Uber
How long will it take to Uber SUV to Santana Row?,,Santana Row,Uber SUV
Get me a estimated time duration to reach Chennai for Uber cabs,,Chennai,Uber
Travel time to 30th Street Station with Uber,,30th Street Station,Uber
How long to Decatur by Gett?,,Decatur,Gett
How long for Uber to get to Stonewall?,,Stonewall,Uber
How long will it take an Uber to get me to the Capitol Building?,,Capitol Building,Uber
How long will it take me to get to downtown using Uber?,,downtown,Uber
calculate the time it will take for uber x to reach la airport,,la airport,uber x
How long would it take Pool to get me to Lukes Diner,,Lukes Diner,Pool
How long will it take for an Uber to get me to LAX?,,LAX,Uber
How long will it take me to go to the Starbucks on Fifth Street through Uber?,,Starbucks on Fifth Street,Uber
How long will it take me to use an Uber ride to get the UW Milwaukee?,,UW Milwaukee,Uber
"Assistant, how long would it take for Uber to drive me from home to the Washington Monument?",home,Washington Monument,Uber
How long will Uber take to get me to the pool?,,pool,Uber
How long would an Uber take to get to ECC College?,,ECC College,Uber
What is the estimated time to get to the airport by Uber?,,airport,Uber
"How long will it take to reach Malai Hills from my place for you, Uber?",my place,Malai Hills,Uber
How long will it take for Uber to bring me to the grand canyon?,,grand canyon,Uber
Find travel duration of Pool till New Market.,,New Market,Pool
How long will it take to Uber to 123 Main st,,123 Main st,Uber
Travel time to city hall via uber?,,city hall,uber
what's the shortest time to miami beach via uber,,miami beach,uber
"uber, are we going to get soon to the Main Street?",,Main Street,uber
What is the estimated time to reach Kochin from Thodupuzha in Uber SUV ?,Thodupuzha,Kochin,Uber SUV
What is the ETA for Uber Pool to the Panthers Stadium at 9:00.,,Panthers Stadium,Uber Pool
"Cortana, how long would it take for Uber to get me to HEB?",,HEB,Uber
How long to take Uber from north Lombard Street to Downtown Portland.,north Lombard Street,Lombard Street to Downtown Portland,Uber
"For the car service Uber SUV, show me the travel time to Seattle.",,Seattle,Uber SUV
Find for me the estimated travel time by Uber SUV to reach Central Park,,Central Park,Uber SUV
how long would it take me to get home using uber?,,home,uber
how long would it take for an Uber to take me to the nearest park,,nearest park,Uber
estimated Uberpool travel time to grand canyon,,grand canyon,Uberpool
How long would it take to use Uber to get to 8th street?,,8th street,Uber
"how long would Uber take to arrive to central?",,central,Uber
find me the estimated travel time to New york for uber,,New york,uber
"How long will it take Uber to bring me to Lafayette, LA",,"Lafayette, LA",Uber
How long would it take Uber to get to the airport?,,airport,Uber
How long will it take to get to Pitville Pool by Uber SUV?,,Pitville Pool,Uber SUV
tell me the estimated time uber cabs will take to reach brooklyn bridge from my current location,current location,brooklyn bridge,uber
Give me an estimation of a travel time from Rome to Milan using a small car with a Hertz service,Rome,Milan,Hertz
How long will it take for Uber to drive from my home to the airport?,home,airport,Uber
ETA to airport on Uber,,airport,Uber
How long it need to take me to the movie theater using Lyft car service,,movie theater,Lyft
What is the estimated travel time from my location to the Philadelphia train station with uber?,my location,Philadelphia train station,uber
"Aneeda, how long will it take Greyhound to travel from Milton, PA to the Hershey Center in Hershey, PA?","Milton, PA","Hershey Center in Hershey, PA",Greyhound
show uber time taken to reach rockport,,rockport,uber
Hey Aneeda get me estimated travel time of Uber to reach panjagutta,,panjagutta,Uber
How long will it take for Lift to get from the corner of Lambert Street and Main to the corner of Ellis Street and Main?,corner of Lambert Street,corner of Ellis Street and Main,Lift
HOW MUCH TIME IT WILL TAKE TO REACH AGRA ROAD  BY UBER SUV,,AGRA ROAD,UBER SUV
Travel time to Orlando using Uber,,Orlando,Uber
How long would it take to reach the convention center if I took an Uber?,,convention center,Uber
How long would it take car services to drive me to this location?,,this location,car services
Just find for me the estimated travel time by Lyft Line to reach Ellis Island,,Ellis Island,Lyft Line
how much time would Uber take to take me to the tower?,,tower,Uber
What's Uber's estimated time between here and the Tower of London,here,Tower of London,Uber
"Open Uber: show estimated travel time using Uber to Kalverstraat, Amsterdam",,"Kalverstraat, Amsterdam",Uber
"If I used Uber, how long would it take me to reach the Wilmington Art Museum?",,Wilmington Art Museum,Uber
What is the estimated time to take Uber to the Galleria?,,Galleria,Uber
Find the travelling time by Uber Select cab from my home to DT Cinema.,home,DT Cinema,Uber Select
WHAT WILL BE THE ESTIMATED TRAVEL TIME TO REACH ANNA UNIVERSITY BY UBER SUV,,ANNA UNIVERSITY,UBER SUV
WHAT IS THE ESTIMATED TIME TO REACH NEWYORK AIRPORT WITH UBER,,NEWYORK AIRPORT,UBER
I want to know the required time to travel to City Hall in an Uber ride?,,City Hall,Uber
What is the travel time to Opry Mills using Lyft?,,Opry Mills,Lyft
"What is the Estimated travel time to reach Chevy Chase Pavilion, 4300 Military Rd NW, Washington, DC 20015   by Uber",,"Chevy Chase Pavilion, 4300 Military Rd NW, Washington, DC 20015",Uber
How fast can I get to the Airport using Uber?,,Airport,Uber
How much time would it take to travel to 31st Street if I used Lyft?,,31st Street,Lyft
Aneeda show me the estimated arrival time to work via an UberX,,work,UberX
estimate travel time from 5th avenue to 10th avenue with uber suv,5th avenue,10th avenue,uber suv
"How long will it take for me to reach the Central Library, New York City with an Uber ride?",,"Central Library, New York City",Uber
Give me Lyft's travel time to 123 Street,,123 Street,Lyft
how long will it take to pool to disneyland,,disneyland,pool
How long does it take to reach National park from MG road on uber pool,MG road,National park,uber pool
how long to Target by Uber,,Target,Uber
How many minutes would it take by Uber to get to the movie theater.,,movie theater,Uber
travel time to 100 main by uber,,100 main,uber
Estimated travel time for Lyft Line to Canal St.,,Canal St,Lyft Line
How many hours will it take to travel to Abuja with a Uber SUV car service?,,Abuja,Uber SUV
UBER 15 MANCHESTER STREET ESTIMATION OF travel time,,15 MANCHESTER STREET,UBER
What is the estimated travel time to get to Youngstown State University from my current location by Uber?,current location,Youngstown State University,Uber
What is the estimated time it will take for Uber to drive me to the library?,,library,Uber
How long will i travel by Uber to reach the airport,,airport,Uber
how long to get to the bellagio   by Uber,,bellagio,Uber
Estimated time taken by Uber Pool to reach Lincoln Street.,,Lincoln Street,Uber Pool
how long by car service to grocery store,,grocery store,car service
What would be the estimated time for a Gett trip to KeyBank Center?,,KeyBank Center,Gett
time to reach dakota by uber,,dakota,uber
"Hey Aneeda, what is shortest time a Uber can drive from my home to the airport?",home,airport,Uber
What is the estimated travel time to reach Lavelle road in a Ubergo,,Lavelle,Ubergo
How long will it take and Uber Pool to get from here to Wrigley Field,here,Wrigley Field,Uber Pool
Can you say how much time does it take for me to reach Delhi from here through Uber cab?,here,Delhi,Uber
When will Uber arrive at 329 Locust Street?,,329 Locust Street,Uber
current Uber travel time to airport,,airport,Uber
How long does it take to get to Times Square by car,,Times Square,car
How many minutes would an Uber take to get to Waterfront Park from here?,here,Waterfront Park,Uber
estimated time to uber to the denver museum,,denver museum,uber
how long will it take uber to take me to big ben,,big ben,uber
time for uber to get me home?,,home,uber
ETA of arrival to Target by Lyft,,Target,Lyft
What would be Uber's eta to get me to Ashley Park.,,Ashley Park,Uber
when should i leave here to get to work by 9am  by Uber,here,work,Uber
When will I arrive at Hofbrau by Lyft?,,Hofbrau,Lyft
How long will it take uber to get me to the airport?,,airport,uber
How long would it take to get to Roberts Pub by Uber?,,Roberts Pub,Uber
How long to City Stadium by Lyft,,City Stadium,Lyft
How long will it take to reach Times Square using Uber,,Times Square,Uber
"How long would it take for an Uber to take me to Lakeside Mall in Sterling Heights, Michigan",,"Lakeside Mall in Sterling Heights, Michigan",Uber
Please search for me the estimated travel time by Uber to reach Empire State Building,,Empire State Building,Uber
show estimated time to wallstreet by Uber,,wallstreet,Uber
"Travel time, Uber to Little Ceasers",,Little Ceasers,Uber
How long does it take to get to MSG on Uber from here,here,MSG,Uber
How long will it take to reach Street Salad from Point Egg using an Uber ride,Point Egg,Street Salad,Uber
Aneeda show me the estimated arrival time to Lincoln Financial via an UberX,,Lincoln Financial,UberX
How much time does Uber cabs take to reach Shamshabad Airport from Charminar.,Charminar,Shamshabad Airport,Uber
What's the travel time with Uber to get to Oakland Coliseum,,Oakland Coliseum,Uber
what is the arrival time at walmart using uber,,walmart,uber
Give me an estimation of how long it takes to get Downtown using Uber.,,Downtown,Uber
Please calculate the time needed to reach Newyork by Uber SUV.,,Newyork,Uber SUV
What would be my ETA if I wanted to take a Lyft to LAX?,,LAX,Lyft
how fast can an uber get me to brooklyn,,brooklyn,uber
Calculate the time taken for a Uber Ford to reach Cineplex in City Center Lane 5,,Cineplex in City Center Lane 5,Uber Ford
What's the travel time to reach Clarke Quay using Uber,,Clarke Quay,Uber
"If I took Uber to Wrigley Field, how long would it take to get there?",,Wrigley Field,Uber
Can you tell me how long it will take to get to the Alderwood Mall using Lyft Line?,,Alderwood Mall,Lyft Line
How fast can Uber get me to Broadway?,,Broadway,Uber
What is the estimated travel time by Uber Suv service to M.G Road,,M.G Road,Uber Suv
"Aneeda, if I took an Uber, how long would it take me to get to Central Park?",,Central Park,Uber
How long will it take for me to get to Ocean City with Uber Black,,Ocean City,Uber Black
"Open Uber, estimate travel time to hospital",,hospital,Uber
When can Lyft get to the Galleria?,,Galleria,Lyft
What is travel time from Chandigarh to Panchkula in Uber,Chandigarh,Panchkula,Uber
"If I take an Uber to the city hall, how long will it take for me to get there?",,city hall,Uber
"How long would it take for me to drive to Southport, North Carolina by Uber?",,"Southport, North Carolina",Uber
what is the travel time to whitehouse by Uber,,whitehouse,Uber
What is the time from my current location to Grand Central Station via Uber?,current location,Grand Central Station,Uber
estimate how long does it take a trip using uber to the empire state building,,empire state building,uber
how long does it take to drive to times square from here by Uber,here,times square,Uber
What's the estimated time for Uber to get me to 24th street.,,24th street,Uber
How long will it take to get to Beardlsey Zoo using Uber?,,Beardlsey Zoo,Uber
Tell estimated travel time to the airport by Uber Suv,,airport,Uber Suv
Time length of Uber to reach penryn?,,penryn,Uber
tell me how many hours does trenitalia need to go from bologna to rome,bologna,rome,trenitalia
Give me the estimated travel time to 4th and Main using Uber.,,4th and Main,Uber
How fast could I get to Boston in an Uber?,,Boston,Uber
Lyft Line travel time to the Statue of Liberty.,,Statue of Liberty,Lyft Line
Uber how many minutes will it take to go from 148 street to Jasper Ave?,148 street,Jasper Ave,Uber
Tell me the estimated time for Uber to bring me to the movie theater,,movie theater,Uber
How long will it take to travel to Santana row via Uber Black?,,Santana Row,Uber Black
Find out what is the travel time to reach Chennai in Uber cab service,,Chennai,Uber
How long will Lyft take to reach Central Park,,Central Park,Lyft
What is the time for Uber to get me to Decatur?,,Decatur,Uber
How long until Uber will get to Red Robin?,,Red Robin,Uber
How many minutes will it take Uber to travel to the Smithsonian?,,Smithsonian,Uber
When will I get downtown if I call Uber right now?,,downtown,Uber
how long will it take for lyft to reach kennedy airport,,kennedy airport,lyft
Estimate travel time to Dragonfly Road by Uber,,Dragonfly Road,Uber
Tell me the travel time to LAX with Uber,,LAX,Uber
How much time will it take to get from here to Blue Indie with an Uber ride?,here,Blue Indie,Uber
Please tell me how long it will take me to use an Uber car to get to Starbucks?,,Starbucks,Uber
Estimate the duration of a Lyft Line trip from home to Goose Neck Creek State Park?,home,Goose Neck Creek State Park,Lyft Line
What time do I arrive at the town hall with Uber?,,town hall,Uber
How many minutes will it take an Uber to get me to ECC?,,ECC,Uber
How much time does it takes to arrive to the airport using Uber?,,airport,Uber
"Hi Uber Service, What is the estimated time to reach Malai Hills.",,Malai Hills,Uber
what is the estimated travel time for Pool to bring me to the astrodome.,,astrodome,Pool
Tell me travel time till Daddys Grill by Uber.,,Daddys Grill,Uber
What's the Uber travel time to 123 Main st,,123 Main st,Uber
How long to get to city hall by uber?,,city hall,uber
time for an uber to MIA,,MIA,uber
Find the estimated time required to reach Chennai from Madurai in Uber,Madurai,Chennai,Uber
How long is the ride to Waffle House via Uber right now.,,Waffle House,Uber
"Hello Aneeda, how long would it take for Uber to get to Wal-Mart?",,Wal-Mart,Uber
What is Uber drive time from my location to Downtown Portland.,my location,Downtown Portland,Uber
Display to me the travel time of the car service Gett to Washington.,,Washington,Gett
Search for me the estimated travel time by Uber SUV to reach Central Park,,Central Park,Uber SUV
when will i get home if i request an uber right now?,,home,uber
how long would it be from here to the park via Uber,here,park,Uber
How long will be the travel time using uber from my home to the hospital?,home,hospital,uber
Uber Travel time to Grand Canyon,,Grand Canyon,Uber
"If I use Lyft, how long is it going to get to Main street?",,Main street,Lyft
how much time do i need approximately to new york with uber,,new york,uber
Estimate the time it will take Uber to bring me to New Orleans,,New Orleans,Uber
How long would it take me to reach the airport using Uber?,,airport,Uber
How quickly can Uber get me to Cheltenham Town Hall from here?,here,Cheltenham Town Hall,Uber
get me the estimated time it will take for uber to reach brooklyn bridge from current location,current location,brooklyn bridge,uber
What is the Uber drive time from home to the airport?,home,airport,Uber
How much time to train station on Lyft,,train station,Lyft
estimated travel time from here to the pizza shop using Uber car service,here,pizza shop,Uber
How long will it take Uber to get from my current location to the Bellagio hotel?,current location,Bellagio hotel,Uber
"Aneeda, what is the estimated travel time for an Uber drive to the Bloomsburg County Fair?",,Bloomsburg County Fair,Uber
show time taken to reach rockport by Uber,,rockport,Uber
Hey Aneeda show me the estimated travel time of Uber to reach masab tank,,masab tank,Uber
How long will Lift take to get from Haze Mall to my house?,Haze Mall,my house,Lift
TELL ME THE TIME REQUIRED TO REACH AGRA ROAD BY UBER SUV,,AGRA ROAD,UBER SUV
How long to Orlando using Uber,,Orlando,Uber
I need to know the estimated travel time if I would take an Uber to the YMCA.,,YMCA,Uber
Estimate the travel time to get to this location by Uber,,this location,Uber
Please find for me the estimated travel time by Lyft Line to reach Ellis Island,,Ellis Island,Lyft Line
How long will it take to use Ola to get to the tower?,,tower,Ola
How long would it take for Ola to get me to Notting hill,,Notting hill,Ola
How long will it take me to get to the Galleria using Ola?,,Galleria,Ola
How long does it take to get to City Hall with an Ola ride?,,City Hall,Ola
How long will it take for Ola to get me to Nashville Airport?,,Nashville Airport,Ola
"Aneeda, how long will it take an Ola to get me to Palm Springs International Airport?",,Palm Springs International Airport,Ola
How long would it take to get to Disney World in an Ola?,,Disney World,Ola
How long will it take Ola to get to My House.,,My House,Ola
Aneeda how long would an OlaX take to get me to work?,,work,OlaX
How long from here to the nearest bank through Ola?,here,nearest bank,Ola
how long would it take Ola to get me to Target?,,Target,Ola
How long would it take by Ola to get to the movie theater.,,movie theater,Ola
Time to reach Tin Factory by UberX,,Tin Factory,UberX
Aneeda how long would an OlaX take to get me to  Tin Factory?,,Tin Factory,OlaX
How long to Tin Factory using Uber,,Tin Factory,Uber
how much time do i need approximately to Tin Factory with uber,,Tin Factory,uber
How long will be the travel time using uber from my home to the Tin Factory?,home,Tin Factory,uber
Uber Travel time to Tin Factory,,Tin Factory,Uber
"If I use Lyft, how long is it gonna be to get to Tin Factory?",,Tin Factory,Lyft
How long will it take to use Uber to get to Tin Factory?,,Tin Factory,Uber
How long would it take for Uber to get me to Tin Factory?,,Tin Factory,Uber
give estimated travel time with Uber to destination Tin Factory,,Tin Factory,Uber
"when will I arrive if I took Uber to the Tin Factory?",,Tin Factory,Uber
How long will it take me to get to the Tin Factory using Uber?,,Tin Factory,Uber
How much will it takes to reach Tin Factory by Uber Premium.,,Tin Factory,Uber Premium
HOW MUCH TIME IT WILL TAKE TO REACH Tin Factory BY POOL CAB,,Tin Factory,POOL
TELL ME THE ESTIMATED TIME TO REACH Tin Factory FROM HERE FOR UBER,HERE,Tin Factory,UBER
How long does it take to get to Tin Factory with an Uber ride?,,Tin Factory,Uber
How long will it take for Uber to get me to Tin Factory?,,Tin Factory,Uber
What is the Estimated time taken to travel by Uber SUV to reach Tin Factory.,,Tin Factory,Uber SUV
