TransportTaxiDestinationQ,TransportTaxiDestination
update uber destination to the nearest bar.,nearest bar
update uber destination to 100 Queen Street,100 Queen Street
uber destination Southdale Mall,Southdale Mall
update uber destination to 42nd st,42nd st
set current location as uber destination,current location
"Uber, set destination at Islington station",Islington station
set uber drop off to north station,north station
set uber drop off to comerica park,comerica park
set uber drop off to Olive Garden.,Olive Garden
Set Benin as my Uber destination,Benin
Set my Uber destination to Montreal.,Montreal
Uber destination is 33 Park st.,33 Park st
set uber drop off to  Winco?,Winco
I want to set the uber destination to the Harbor Bridge.,Harbor Bridge
Open Uber App and Set my destination as Qutub Minar Delhi.,Qutub Minar Delhi
Update my uber destination to government law college of coimbatore,government law college of coimbatore
set my uber destination to central park,central park
set uber drop off to safeway,safeway
set uber drop off to the nearest movie theaters.,movie theaters
Set my Uber destination as The Playhouse in Cheltenham,Playhouse in Cheltenham
Set destination to Ellis Island,Ellis Island
set uber drop off to  delhi?,delhi
set uber drop off to  home,home
set uber drop off to  the Empire State Building.,Empire State Building
Set destination to Delhi as Uber destination.,Delhi
"new Uber destination: Maceio, Pajucara","Maceio, Pajucara"
Please set my destination to work in the Uber app,work
set uber drop off to  work,work
"Please set my destination for Ocala, Florida.","Ocala, Florida"
Set my uber destination to Houston,Houston
Can you set my Uber destination to the nearest Starbucks?,Starbucks
elf street is my new drop point,elf street
Set destination to work,to work
Set my Uber destination to 221B Baker Street,221B Baker Street
Set my uber destination to town hall.,town hall
Set Uber destination to K-mart.,K-mart
Set Uber destination to work,work
Set Uber destination to McDonald,McDonald
Set Uber destination to the Empire State Building?,Empire State Building
Set destination to home.,home
Please set my destination to Pheonix.,Pheonix
Please set my destination to Manteri Mall,Manteri Mall
I want my destination to be the airport.,airport
"Update Uber to my new destination of 26 West Fourth Street, New York City, New York.","26 West Fourth Street, New York City, New York"
Update Uber to my new destination of  NYC,NYC
drive me to the drinking hole,drinking hole
tell the uber to drop us off at mariner's stadium,mariner's stadium
Set location as PRO Karma Inc.,PRO Karma Inc
Update Uber to my new destination of the Seattle Art Museum,Seattle Art Museum
Update Uber to my new destination of  Floral Towers New York,Floral Towers
Update Uber to my new destination to central station using uber,central station
Update Uber to my new destination to Disneyworld ?,Disneyworld
Update Uber to my new destination to 118 New Castle Street,118 New Castle Street
Update Uber to my new destination to the Pilgrim Hospital. ,Pilgrim Hospital
set my uber destination to home,home
My destination is Costco on 3rd Street.,Costco on 3rd Street
I want to go Coimbatore. So open uber and make my destination as Coimbatore.,Coimbatore
Update Uber to my new destination to Six flags,Six flags
Update Uber to my new destination to home.,home
Update Uber to my new destination to oakland thru uber,oakland
Update Uber to my new destination to 34th and Madison.,34th and Madison
Set uber destination for work,work
Have my Lyft Line take me to the supermarket,supermarket
Set uber destination to the Chandler Mall.,Chandler Mall
set my uber destination as safeway,safeway
Set uber destination as walmart on elmore street please,walmart on elmore street
"Set uber destination to 138 high path road, windsor, ct?","138 high path road, windsor, ct"
Set my uber destination for the train station.,train station
"Set my uber destination for 2222 east market street, warren, ohio","2222 east market street, warren, ohio"
Set uber destination to the Best Buy on Ingram,Best Buy
Set uber destination final point Disneyland,Disneyland
My Uber destination is home,home
Set uber destination to the nearest mall,nearest mall
Set uber destination as home location,home
Set uber destination to applebees?,applebees
Set uber destination to Ohare airport.,Ohare airport
Set uber destination to the airport.,airport
Uber take me to empire state building,empire state building
Set uber destination to the City Hall,City Hall
Set uber destination to 1234 Charles,1234 Charles
Please take me to the mall,mall
Set uber destination to the mall.,mall
Set uber destination to Best Buy,Best Buy
"Using Uber, update my ride to new location as University of the Philippines - Diliman.",University of the Philippines - Diliman
"Using Uber, update my ride to new location as home please.",home
MY DESTINATION WILL BE AIRPORT,AIRPORT
"Using Uber, update my ride to new location as california coffee house, pune","california coffee house, pune"
"Using Uber, update my ride to new location as rassaz mall",rassaz mall
Set my uber destination to take me to my set location,set location
change the uber destination to home.,home
Set my uber destination to take me to  work.,work
Set my uber destination to take me to Uber home,home
Set my uber destination to take me to downtown,downtown
Set my uber destination to take me to Madison Square Garden please.,Madison Square Garden
Set my uber destination to take me to home.,home
Set my uber destination to take me to Anthropologie,Anthropologie
"I'd like to go to the Metropolitan Opera in New York City, so please set my Uber destination there.",Metropolitan Opera in New York City
My Uber destination is VA station,VA station
Set my uber destination to take me to  Foxwoods Casino using Uber,Foxwoods Casino
Set my uber destination to take me to Angela and take me there.,Angela
can you open uber and set subway as destination,subway
Set my uber destination to take me  to Madison Square Garden?,Madison Square Garden
"set trip to art museum,london","art museum,london"
set course for last destination.,course
Set my uber destination to take me to home,home
Set my uber destination to take me to the nearest mall,mall
set home location as new destination,home
Change my uber destination As Theni,Theni
Change my uber destination As grocery store,grocery store
new Uber destination from here to 1200 Ocean Drive,1200 Ocean Drive
Change my uber destination As london,london
Change my uber destination As Walmart.,Walmart
Change my uber destination As  1658 Elm Street,1658 Elm Street
Change my uber destination As home?,home
Change my uber destination As  the restaurant.,restaurant
I want to go to reynoldsville with uber as my new destination,reynoldsville
Change my uber destination As home,home
Mark destination as City Mall in UBER,City Mall
Mark destination as my home location.,home location
Mark destination as the Pacific,Pacific
Mark destination as El Paso in Uber,El Paso
"I need you to take me to 1st Street, Chicago, Illinois","1st Street, Chicago, Illinois"
request Uber SUV destination to be set to San Diego Airport Terminal 2,San Diego Airport Terminal 2
Go ahead and set my uber destination to the closest Churches Chicken.,Churches Chicken
Go ahead and set my uber destination to my home address,home address
Go ahead and set my uber destination to In N Out Burger.,In N Out Burger
fix uber destination at Gandhi road,Gandhi road
Go ahead and set my uber destination to  Chennai through Uber,Chennai
Go ahead and set my uber destination to 3030 paulowna ave,3030 paulowna ave
Take me to the Walmart on University Street,Walmart on University Street
destination place uber chennai,chennai
Lock uber to destination Goa,Goa
Have my Lyft driver take me to Uncle Dave's house.,Uncle Dave's house
"I want to go to Connecticut,could you please set this destination in Uber.",Connecticut
"Go ahead and set my uber destination to 1234 Example Way, Sample, OR, 12345.","1234 Example Way, Sample, OR, 12345"
please can I see my uber destination to the school?,school
I want to be taken to the library.,library
Let my new uber destination be Bulevardi 31,Bulevardi 31
Go ahead and set my uber destination to the lowes grocery store on rowlock way.,lowes grocery store on rowlock way
Set uber destination to mcdonald's,mcdonald's
Uber take me to work.,work
"Go ahead and set my uber destination to Tillary ST, Newyork","Tillary ST, Newyork"
set a new destination to Work,Work
Go ahead and set my uber destination to the bar,bar
Go ahead and set my uber destination to LAX.,LAX
set destination to new york city,new york city
Go ahead and set my uber destination to KFC,KFC
Uber take me to dad's house,dad's house
Go ahead and set my uber destination to la Fayette  Square,la Fayette  Square
Uber destination Central Park West,Central Park West
Set my uber destination as central park,central park
Set my uber destination to home,home
Set my uber destination as home,home
Ask Uber to take me to Stonewall,Stonewall
Uber Drive me back home,home
set my uber destination to tucson mall,tucson mall
set my uber destination to home,home
Make the cinema my Uber destination.,cinema
set my uber destination to the nearest store,nearest store
"set my uber destination to 308 Beall Street Kilgore, TX","308 Beall Street Kilgore, TX"
set my uber destination to the nearest mall,mall
set my uber destination to the store.,store
set my uber destination to the nearest bar.,nearest bar
Set destination for 100 Queen Street,100 Queen Street
set my uber destination to Bangalore,Bangalore
set my uber destination to Southdale Mall,Southdale Mall
set my uber destination to 42nd street uber,42nd street
set location on uber to 42 wallaby way,42 wallaby way
Set destination to Rogers Centre,Rogers Centre
destination is south station,south station
Set destination to comerica park,comerica park
Set destination to  the closest Olive Garden.,Olive Garden
Change my Uber destination to Benin,Benin
Tell Uber I'm going to Montreal.,Montreal
Uber drop-off is 33 Park st.,Uber drop-off is 33 Park st
Change my Uber destination to Winco.,Winco
Can I set my uber destination to the Harbor Bridge?,Harbor Bridge
Set my destination as Malviya Nagar Delhi in Uber App,Malviya Nagar Delhi
uber destination empire state building,empire state building
Set my destination to safeway?,safeway
Change my Uber destination to AMC Theaters.,AMC Theaters
I want my Uber to take me to North Place carpark,North Place carpark
Take me to Ellis Island,Ellis Island
Change my Uber destination to west hood side,west hood side
Uber set up my destination to home,home
Find an Uber and set destination to the Empire State Building.,Empire State Building
"My new destination is Gurgaon, set it as Uber destination.",Gurgaon
"Uber end point: Maceio, Pajucara","Maceio, Pajucara"
Can you please use work as my destination for Uber,work
Change my Uber destination to Laguardia Airport,Laguardia Airport
"I need you to set my destination for today, for Tallahassee, Florida.","Tallahassee, Florida"
Change my Uber destination to Houston,Houston
Can you set my Uber destination to the nearest coffee shop?,nearest coffee shop
flower street is my last point,flower street
Change my Uber destination to work,work
Set my Uber destination to Sherlock's House,Sherlock's House
The destination for my uber is Scranton Road.,Scranton Road
Enter Uber destination as K-mart,K-mart
Change my Uber destination to work place,work place
Change my Uber destination to McDonald,McDonald
please take me to new destination Wood Cabinet Factory,Wood Cabinet Factory
my new uber destination is Knights Inn Seekonk Ma,Knights Inn Seekonk Ma
set my uber destination to Bstore Garden City,Bstore Garden City
change my uber destination to Fungs Kitchen,Fungs Kitchen
update my ride to new location as california coffee house,california coffee house
update uber destination to Ciao Ciao Due,Ciao Ciao Due
i would like to take uber to sixth as my new destination,sixth
set destination to Best Western Airport Inn,Best Western Airport Inn
