emailDefaultQ,emailDefaultAccount
"Hello Aneeda, review my email accounts on the phone. If my outlook account is not the default account, put it up as my default.",outlook
"Hello Aneeda, will you please set the new default email address for sending emails to my work account?",work
"From now on, send emails with gmail.",gmail
Make my Gmail account my default account.,Gmail
Make my default email account landcatdog@yahoo.com,landcatdog@yahoo.com
Use Hotmail as default email,Hotmail
Set my main email account to jasonday@gmail.com.,jasonday@gmail.com
My gmail account needs to be the primary account,gmail
make xxx@gmail.com my default email address,xxx@gmail.com
Setup default email as generic@yahoo.com.,generic@yahoo.com
make my email account mike26@gmail.com as my only default,mike26@gmail.com
Please use my gmail account as my primary email account.,gmail
Can I set my Outlook account as my default email account?,Outlook
I want you to use Hotmail as the default email account,Hotmail
I am ordering U to set gmail as my default email account in my smartphone system.,gmail
Set the work e-mail as default account,work
Set the default e-mail as my gmail account,gmail
Please set gmail to default,gmail
Set Gmail as main email account,Gmail
Use joe blogs at gmail as my main email account,joe blogs at gmail
Please make the hotmail account as my default account,hotmail
Make outlook my default email account.,outlook
Please set my gmail account to be my default email account.,gmail
Set up a default email account using my existing Gmail account.,Gmail
Please set my work email account to default.,work
Change my default email to my mypersonalaccount@gmail.com,mypersonalaccount@gmail.com
Make test@example.com default.,test@example.com
Use blank@gmail.com as my primary email.,blank@gmail.com
Can you make outlook my default email?,outlook
I want my default email account to be  justask234@gmail.com.,justask234@gmail.com.
My default email account will be my Gmail account.,Gmail
"Hello Aneeda, make gmail my default email account.",gmail
Can you set up my default email using my yahoo?,yahoo
Set the gmail account as my default mail,gmail
PLEASE SET UP MY GMAIL ACCOUNT AS MY DEFAULT ACCOUNT ON MY PHONE,GMAIL
Make my gmail account my default email.,gmail
Make my home account my default account.,home
"""Set my gmail to default and do it now!""",gmail
I request my google email account as my default,google
