TransportTaxiEstimateTravelFareQ,TransportTaxiEstimateTravelFareOrigin,TransportTaxiEstimateTravelFareDestination,TransportTaxiEstimateTravelFareTaxiType
How much would it take for Uber to drive me from my house to the theater?,my house,theater,Uber
How much will it cost to go to 123 Main Street using Uber?,,123 Main Street,Uber
how much to get to Missouri state capital in an uber?,,Missouri state capital,uber
What is the approximate cost for an Uber from my location to Downtown Houston?,my location,Downtown Houston,Uber
Aneeda how much would it cost me to take an UberX from my location to Lincoln Financial?,my location,Lincoln Financial,UberX
What is the amount of  fare of Uber Cab from Chandigarh to panchkula.,Chandigarh,panchkula,Uber
estimated fare for uber cab to town hall,,town hall,uber
"Aneeda, how much would it cost for me to take an Uber to Central Park?",,Central Park,Uber
Approximately how much will a ride from Uber cost to get to the Covelli Center in Youngstown?,,Covelli Center,Uber
How much is an Uber to Wal-Mart?,,Wal-Mart,Uber
how much would an Uber be to atlanta,,Atlanta,Uber
How much would it cost to take an Uber to Broadway?,,Broadway,Uber
(name of assistant) how much would Uber charge me to get to Target,,Target,Uber
What is the fare of Uber SUV to  Miami Beach.,,Miami Beach,Uber SUV
please estimate fare on Uber to reach downtown San Diego,,Downtown San Diego,Uber
How much would an Uber Pool cost from here to the White House,here,White House,Uber Pool
How much will it cost to Uber to Central Park?,,Central Park,Uber
what's the estimated fare from my house to the airport if i use UberX,my house,airport,UberX
"Show Uber. Show fare to Kalverstraat, Amsterdam",,"Kalverstraat, Amsterdam",Uber
whats uber fare to dakota,,dakota,uber
About how much will an Uber cost to get Downtown?,,Downtown,Uber
how much will it cost for an uber to time square,,time square,uber
Get the estimated fare of Uber Suv to reach M.G. Road,,M.G. Road,Uber Suv
how much will it cost to get to times square using uber,,times square,uber
What is the estimated fare to reach MG Road in a UberGo,,MG Road,UberGo
"Hey Aneeda, how much will Uber cost to drive me from home to the Capital Hill?",Home,Capital Hill,Uber
How much would it cost to get an Uber to Washington Square Mall?,,Washington Square Mall,Uber
What's the fare if I get a ride from Uber from here to Tampa?,here,Tampa,Uber
How much would it cost to get to 4th and Main by Uber?,,4th and Main,Uber
Get me a estimate for Uber to the Galleria.,,Galleria,Uber
How much is the fare to Liverpool Street Station?,,Liverpool Street Station,
How much will it cost to Uber from here to Eiffel Tower,here,Eiffel Tower,Uber
What would it cost for an UBER to take me to the Melting Pot?,,Melting Pot,UBER
estimated fare of my Lyft ride to Empire State,,Empire State,Lyft
HOW MUCH SHOULD I PAY FOR UBER TO REACH NEWYORK AIRPORT,,NEWYORK AIRPORT,UBER
Find for me the estimated fare by Uber SUV to reach Grand Central Terminal,,Grand Central Terminal,Uber SUV
show estimated uber fare to wallstreet from home,Home,wallstreet,uber
Uber Fare from McDonalds 119th St to Library 95th St and Halsted.,McDonalds 119th St,Library 95th St and Halsted,Uber
What is the approximate cost for me to use Uber to get to Wrigley Field from here?,here,Wrigley Field,Uber
What is the estimated cost for going to Clarke Quay using Uber,,Clarke Quay,Uber
estimate a uber fare to empire state building,,empire state building,uber
"Uber, how much will the fare be to get from 8473 chaste st. To 7111 west Alaska drive?", 8473 chaste st.,7111 west Alaska drive,Uber
How much will an Uber charge to take me to the Washington Monument?,,Washington Monument,Uber
Find estimated price for Uber ride to 408 Maple Ridge Dr.,,408 Maple Ridge Dr.,Uber
How much will it cost to Uber to the Cowboys game?,,Cowboys game,Uber
estimate price Lyft from current position to San Francisco Airport,current position,San Francisco Airport,Lyft
Get estimated fare for Uber to High Street,,High Street,Uber
"lyft, can I get a ride estimate to walmart?",,walmart,Lyft
Pool what would be the approximate cost to travel from Southgate Mall to 14608 185 Street?,Southgate Mall,14608 185 Street,Pool
Aneeda can you look up the estimated fare for Uber X from Quicken Loans Arena to Cleveland Browns Stadium,Quicken Loans Arena,Cleveland Browns Stadium,Uber X
Estimate Lyft car fare to Bronx Zoo,,Bronx Zoo,Lyft
How much is a Lyft to Six Flags?,,Six Flags,Lyft
About how much would it cost to take an Uber to the Palace of Auburn Hills?,,Palace of Auburn Hills,Uber
I would like to know the cost to take a Uber service to the movie theater.,,movie theater,Uber
Open Uber and Estimate fare for current location to Illinois University.,,Illinois University,Uber
Calculate the fare for an Uber SUV to reach Sims Park in Elmore Street,,Sims Park in Elmore Street,Uber SUV
WHat is uber taxi fare to go to MG road from Big street,Big street,MG road,uber
How much for an Uber to Decatur?,,Decatur,Uber
How much for Uber to Alexandria Station,,Alexandria Station,Uber
Make a Google research to find the price of a travel Rome Bari with a station-wagon car with Uber company,,Rome Bari,Uber
Estimate the fare for an Uber to my home,,home,Uber
get me the travel fare to whitehouse using uber,,whitehouse,uber
HOW MUCH I NEED TO  PAY FOR UBER SUV TO REACH TO RED FORT,,RED FORT,UBER SUV
How much to get from Bloomington to Indy with Uber,Bloomington,Indy,Uber
How much Uber is charging to travel to The niche from Chennai,Chennai,niche,Uber
"Aneeda, estimate the cost of using Lyft to bring me to New Orleans",,New Orleans,Lyft
how much will uber charge to go from reynoldsburg to easton,reynoldsburg,easton,uber
What is the cost to travel to Aberdeen Bus Station with uber,,Aberdeen Bus Station,Uber
Search for the estimated fare by Uber to reach Museum of Modern Art,,Museum of Modern Art,Uber
How much would an Uber cost to take me to Main Street and Southside?,,Main Street and Southside,Uber
Estimated Fare for Uber SUV to reach Lincoln Street,,Lincoln Street,Uber SUV
How much would uber cost to get to main street,,main street,uber
How much for Uber to history museum,,history museum,Uber
How much would it cost for an Uber to the closest Meijer?,,closest Meijer,Uber
How much does it cost for an Uber to take me to Hyde park?,,Hyde Park,Uber
Result estimated fare Uber to Kochi,,Kochi,Uber
How much will it cost to take Uber to 123 Main st?,,123 Main st,Uber
Give me estimated fare from my home to the airport by Uber SUV,my home,airport,Uber Suv
How much does it cost to get an Uber ride to City Hall?,,City Hall,Uber
How much will it cost for Uber to get me home?,,home,Uber
What is the estimated fare of Uber SUV from Kochin to Calicut ?,Kochin,Calicut,Uber SUV
Pool car service fare to the Empire State Building.,,Empire State Building,Pool
Get fare price of Gett till Southern Avenue.,,Southern Avenue,Gett
How much money do I have to pay to get to the airport using Uber?,,airport,Uber
How much would it cost to get to Boston in an Uber?,,Boston,Uber
Tell me what the estimated fare would be to go to the Marriott for Uber.,,Marriott,Uber
Estimate the fare by Uber cabs from Charminar to Shamshabad Airport.,Charminar,Shamshabad Airport,Uber
how much does uber cost to new york,,new york,uber
Cost for Uber from my location to Downtown Portland.,my location,Downtown Portland,Uber
"What is the estimated fare for reaching Chencheri malai, Lyft Line?",,Chencheri malai,Lyft Line
How much would it cost to take an Uber to Buffalo Central Library?,,Buffalo Central Library,Uber
How much I have to play for 3 miles long travel in Uber,,3 miles,Uber
"AI, how much will it roughly cost if I take Uber from here to Trafalgar Square?",here,Trafalgar Square,Uber
uber suv estimated price from 5th avenue to 10th avenue,5th avenue,10th avenue,Uber suv
Find cost of Uber to take me to 303 First Street.,,303 First Street,Uber
Aneeda how much would it cost me to take an UberX from my location to Wawa?,my location,Wawa,UberX
How much would Uber charge to get to City park?,,City Park,Uber
"Open Uber, estimate fare from here to hospital",here,hospital,Uber
UBER 15 MANCHESTER STREET ESTIMATED FARE,,15 MANCHESTER STREET,UBER
How much is the Uber fare to the pier?,,pier,Uber
show uber charge to rockport from home,Home,rockport,uber
What would be the fare for an Uber Suv to The Empire State Building?,,Empire State Building,Uber Suv
"If I used Uber to go to the Toys 'R' Us in Christina, Delaware, how much would it cost me?",,"Toys 'R' Us in Christina, Delaware",Uber
how does the trip to rome cost with radiotaxi?,,rome,radiotaxi
to reach st thomas mount how much i have to pay in uber SUV,,st thomas mount,uber SUV
How much is an Uber to Jenny's house from home?,Home,Jenny's house,Uber
Display to me the fare of the car service Pool to The National Art Museum.,,National Art Museum,Pool
Prices of uber services to crown center washington pa,,crown center washington pa,uber
Estimated fare of Pool to my location.,,my location,Pool
What would an Uber to Barry's Restaurant cost?,,Barry's Restaurant,Uber
Estimate the cost of a ride to LAX,,LAX,
What will the Uber fare be from my house to the airport?,my house,airport,Uber
How much would it be to take an Uber to the library?,,library,Uber
fetch me the fare between my location to times square on uber cabs,,times square,uber
Hey Aneeda show me the details of estimated fare of Uber SUV to reach banjara hils,,banjara hils,Uber SUV
What will my fare be using Lyft to get to Luton,,Luton,Lyft
Estimate price for Uber to take me to the airport.,,airport,Uber
What's the cost to go to Times Square by Uber,,Times Square,Uber
Please search for me the estimated fare by Lyft Line to reach Madison Square Garden,,Madison Square Garden,Lyft Line
how much would it cost on lyft to go from my location to santa monica pier,my location,santa monica pier,lyft
What is the Uber fare from my current location to Times Square?,my current location,Times Square,Uber
Cost to travel to 123 empty street via lyft line?,,123 empty street,lyft line
How much is an uber from here to Bernstein Avenue?,here,Bernstein Avenue,uber
What does lyft cost from work to home?,work,home,lyft
What is the price to get to Macy's via Lyft?,,Macy's,Lyft
"Aneeda, what is the estimated expense to reach PA Grand Canyon with Uber SUV?",,PA Grand Canyon,Uber SUV
How much would Uber cost to take me to the mall?,,mall,Uber
fare estimate to 100 main,,100 main,
What will it cost for Uber to take me to Nashville airport?,,Nashville Airport,Uber
"Uber fare from my location to Hotel Plaza, Manhattan",my location,"Hotel Plaza, Manhattan",Uber
How much will it cost for a Lyft ride to SFO?,,SFO,Lyft
How much money is it to get to the Pyramids using Uber?,,Pyramids,Uber
Lyft fee to DART station,,DART station,Lyft
What is cost for uber to home?,,home,uber
Show fare for Central Park with Lyft,,Central Park,Lyft
"Phone, how much will it cost to take a Lyft to Cinemark 8",,Cinemark 8,Lyft
Calculate the cost of paying Gett to take me from home to Walmart on 14th street.,Home,Walmart on 14th street,Gett
estimated uber fare to london,,london,uber
Please tell me what the estimated fare will be to use an Uber car to get to the Associated Bank.,,Associated Bank,Uber
whats the price of an uber down to miami beach,,miami beach,uber
How much money would it take to get a ride through Lyft from here to the Philadelphia Zoo?,here,Philadelphia Zoo,Lyft
What's the price to reach Universal Studios Hollywood with Lyft?,,Universal Studios Hollywood,Lyft
How much would it cost to Londontowne from here?,here,Londontowne,
Give me Lyft fares for 123 Street,,123 Street,Lyft
What is the cheapest way to get to Trader Joe's using Uber?,,Trader Joe's,Uber
What is the cost to take Uber to Ashley Park.,,Ashley Park,Uber
"If I rent a Lyft to Washington Park, how much would I have to pay?",,Washington Park,Lyft
how much is a lyft to walmart,,walmart,lyft
How much will I have to pay to travel to Abuja with Uber?,,Abuja,Uber
How much is it from the airport to busch stadium when taking an Uber?,Airport, busch stadium,Uber
What's the cost of Lyft Line to Whaddon Road from here?,here,Whaddon Road,Lyft Line
Provide the estimate fare for Uber to drop me off at the movie theater from current location,current location,movie theater,Uber
What would Uber charge to go to 123 Main Street?,,123 Main Street,Uber
what is the cost to get to missouri state prison via a taxi,,Missouri state prison,taxi
Tell me the price of an Uber ride to Downtown Houston from my current location,my current location,Downtown Houston,Uber
Aneeda show me the estimated fare for an UberX that would take me to Lincoln Financial,,Lincoln Financial,UberX
how much will it cost for uber to get me to town hall,,town hall,uber
"Aneeda, how much would it cost to get to Central Park if I took an Uber?",,Central Park,Uber
What will it cost to get a ride from Lyft from my current location to home?,my current location,home,Lyft
Cost of Uber to Wal-Mart,,Wal-Mart,Uber
Estimate an Uber fare from my location to atlanta,my location,Atlanta,Uber
What would the fare be to take a Lyft to 31st Street?,,31st Street,Lyft
what is Uber's cost to take me to Target.,,Target,Uber
please calculate the fare to Miami Beach by Uber SUV,,Miami Beach,Uber SUV
estimate the cost of fare on Lyft to reach Balboa Park,,Balboa Park,Lyft
What is the fare estimate for a Lyft to PNC Park,,PNC Park,Lyft
What does it cost to Uber to Central Park?,,Central Park,Uber
How much will it cost to take an Uber to the airport,,airport,Uber
"Check Uber. Show fare for Kalverstraat, Amsterdam",,"Kalverstraat, Amsterdam",Uber
uber cost to reach dakota,,dakota,uber
Tell me how much it costs to Uber Downtown from here.,here,Downtown,Uber
tell me the cost of pool to time square,,time square,pool
Show me the estimated fare of Uber Suv to reach M.G. Road,,M.G. Road,Uber Suv
what does uber charge to drive me to times square,,times square,uber
How much will it cost to reach Lavelle Road in a Ubergo,,Lavelle Road,Ubergo
"Hey Aneeda, which car service will cost the least to go from my home to White House?",my home,White House,
How much would an Uber cost if I want to get to Waterfront Park from here?,here,Waterfront Park,Uber
How much would it cost to use Lyft to get a ride to Sarasota?,,Sarasota,Lyft
What is the Uber price to go to 4th and Main?,,4th and Main,Uber
How much will it cost to get to the Galleria using Uber?,,Galleria,Uber
Whats the fare to reach Eiffel Tower,,Eiffel Tower,
How much would I spend on an UBER to Bank of America Stadium?,,Bank of America Stadium,UBER
Lyft fare to Central Park,,Central Park,Lyft
WHAT IS THE FARE TO REACH NEWYORK AIRPORT WITH UBER,,NEWYORK AIRPORT,UBER
Please find for me the estimated fare by Uber SUV to reach Grand Central Terminal,,Grand Central Terminal,Uber SUV
show estimated uber fare to wallstreet,,wallstreet,uber
Uber fare from 119th Halsted to 95th Halsted street,119th Halsted,95th Halsted Street,Uber 
How much does it cost for me to Uber to the nearest post office?,,nearest post office,Uber
How much will it cost to go to Clarke Quay using Uber,,Clarke Quay,Uber
how much will cost a uber to take me to empire state building,,empire state building,uber
"Uber, estimate fare from home to work.",Home,Work,Uber
Whats uber fare to take me to burger king,,Burger king,Uber
What is the price to have an Uber take me to the Lincoln Memorial?,,Lincoln Memorial,Uber
How much will it cost to Lyft to Madison Square Garden,,Madison Square Garden,Lyft
check price Uber SUV from current position to San Francisco Airport Terminal 2,current position,San Francisco Airport Terminal 2,Uber SUV
How much does it cost with Uber to the school?,,School,Uber
"Uber, how much to go to the mall?",,mall,Uber
Pool how much does it cost to go from Southgate to 14608 185 Street,Southgate,14608 185 Street,Pool
Aneeda how much would it cost to take Lyft from Rock n Roll Hall of Fame to the Flats in Cleveland,Rock n Roll Hall of Fame,Flats in Cleveland,Lyft
How much will I pay to take Lyft to the Bronx Zoo,,Bronx Zoo,Lyft
What does Uber charge to go to the mall?,,mall,Uber
What would I be charged to take an Uber to Ford Field?,,Ford Field,Uber
Can you tell me the cost to take a Uber service to the movie theater.,,movie theater,Uber
Open Uber app and calculate fare estimate from current location to Illinois University.,current location,Illinois University,Uber
What is the cost of hiring a Pool Ford to reach Mount Road in Trent,,Mount Road in Trent,Pool Ford
Uber fare from MG road to Big street,MG road,Big street,Uber
What is the price for a ride to Decatur with Uber?,,Decatur,Uber
What is Lyft fare going to 14 Madison Street,,14 Madison Street,Lyft
Show me the best price of uber for a travel from Rome to Bari,Rome,Bari,uber
Can you estimate the cost for an Uber from my current location to my house,current location,my house,Uber
what is the travel fare to whitehouse using uber,,whitehouse,uber
WHAT WILL UBER CHARGE ME TO DROP ME AT RED FORT,,RED FORT,UBER
How much to get to Indy from here for Uber,here,Indy,Uber
Get me a details of Uber travel charge to travel Theni to Chennai,,Chennai,Uber
What will it cost for lyft to take me to New Orleans,,New Orleans,Lyft
how much is an uber to easton,,easton,uber
How much does it cost to travel to Aberdeen Bus Station with uber,,Aberdeen Bus Station,Uber
Just search for the estimated fare by Uber to reach Museum of Modern Art,,Museum of Modern Art,Uber
What's the price for an Uber ride to Main and Southside?,,Main and Southside?,Uber
How much will Uber SUV charge me for reaching Lincoln Street,,Lincoln Street,Uber SUV
What would it cost to uber to main street at 10 pm tonight?,,main street,uber
What's the fare for Lyft to reach Sunset beach,,Sunset beach,Lyft
How much is the Lyft fare from here to Sugar Berry?,here,Sugar Berry,Lyft
How much is it for an Uber to drive me to The Eiffel Tower?,,Eiffel Tower,Uber
Request estimated fare Uber to Kochi,,Kochi,Uber
What's the fare for Uber to 123 Main st,,123 Main st,Uber
Load estimated fare from my home to the airport by Uber SUV,my home,airport,Uber Suv
I want to know the price of an Uber ride to City Hall.,,City Hall,Uber
What's the cost for Lyft to drive me to the office?,,office,Lyft
Find out the estimated charge of Uber car service from Thodupuzha to Calicut,Thodupuzha,Calicut,Uber
Fare of Pool car service to the Empire State Building.,,Empire State Building,Pool
Find fare of Lyft Line to reach Wax Museum.,,Wax Museum,Lyft Line
How much does it costs to get to the airport using Uber?,,airport,Uber
How much is a ride to Boston with Uber?,,Boston,Uber
What is the estimated fare for Lyft to take me to the airport?,,airport,Lyft
How much would it cost by Uber cabs to travel from Charminar to Shamshabad Airport.,Charminar,Shamshabad Airport,Uber
find me the cost of uber to new york,,new york,uber
How much to take Uber from my location to Downtown Portland.,my location,Downtown Portland,Uber
How much you charge for reaching Chencheri malai?,,Chencheri malai,
What does Lyft charge to take me to New Era Field?,,New Era Field,Lyft
help me calculate the price from my home to gym for Uber car service,my home,gym,Uber
"AI, if I take a Uber SUV from where I am now to Buckingham Palace, what's the estimated cost?",,Buckingham Palace,Uber SUV
price from 5th avenue to 10th avenue with uber suv,5th avenue,10th avenue,Uber SUV
Estimate the Uber cost of a ride to Central Park.,,Central Park,Uber
Aneeda can you show me how much it would cost to take an UberX from here to my local Wawa?,here,Wawa,UberX
Charge for Uber to get to City Park.,,City Park,Uber
"Open Uber, estimate fare to hospital",,hospital,Uber
UBER 15 MANCHESTER STREET ESTIMATION OF FARE,,15 MANCHESTER STREET,Uber
What would Pool cost me to get to work?,,work,Pool
show uber charge to rockport,,rockport,uber
How much would it cost for me to take an Uber to 1st Street and 7th Avenue?,,1st Street and 7th Avenue,Uber
What would the current fare price be if I used Lyft to go to the Trader Joes on Concord Pike?,,Trader Joes on Concord Pike,Lyft
How much is an uber to santa monica right now ,,santa monica,uber
How much is an uber to griffith park ,,griffith park ,uber
How much is an uber to lax,,lax,uber
How much is an uber to venice beach ,,venice beach,uber
How much is an uber to miami beach ,,miami beach,uber
How much is an uber to dodger stadium ,,dodger stadium,uber
How much is an uber to the alamo ,,alamo,uber
How much is an uber to arclight cinemas ,,arclight cinemas,uber
How much is an uber to city hall ,,city hall,uber
How much is an uber to malibu nobu,,malibu nobu,uber
How much is an uber to 6533 hill street ,,6533 hill street,uber
How much is an uber to 809 n cahuenga blvd,,809 n cahuenga,uber
How much is an uber to 3029 s quinn ,,3029 s quinn,uber
How much is an uber to 77 mass ave,,77 mass ave,uber
How much is an uber to mit ,,mit,uber
How much is an uber to ucla,,ucla,uber
How much is an uber to usc,,usc,uber
How much is an uber to downtown la ,,downtown la,uber
How much is an uber to korean town ,,korean town,uber
How much is an uber to chinatown square ,,chinatown square,uber
How much is an uber to downtown crossing ,,downtown crossing,uber
How much is an uber to o'hare,,o'hare,uber
How much is an uber to 55 main street ,,55 main street,uber
How much is an uber to 201 hill street ,,201 hill street,uber
How much is an uber to 7 park avenue ,,7 park avenue,uber
How much is an uber to madison and 54th ,,madison and 54th ,uber
How much is an uber to halsted and 3rd ,,halsted and 3rd,uber
How much is an uber to main and 6th ,,main and 6th,uber
How much is an uber to pico robertson ,,pico robertson,uber
How much is an uber to sunset and vine ,,sunset and vine,uber
How much is an uber to 97 mass ave ,,97 mass ave,uber
How much is an uber to hull house ,,hull house,uber
How much is an uber to uic ,,uic,uber
How much is an uber to red line ,,red line,uber
How much is an uber to the union station ,,union,uber
How much is an uber to shake shack ,,shake shack,uber
How much is an uber to pantages theater ,,pantages theater,uber
How much is an uber to appleville ,,appleville,uber
How much is an uber to target ,,target,uber
How much is an uber to costco ,,costco,uber
How much is an uber to walmart in west covina ,,walmart in,uber
How much is an uber to burbank ikea ,,burbank ikea,uber
How much is an uber to komodos venice ,,komodos venice,uber
How much is an uberx to 3029 s quinn ,,3029 s quinn,uberx
How much is an uberx to 77 mass ave,,77 mass ave,uberx
How much is an uberx to mit ,,mit,uberx
How much is an uberx to ucla,,ucla,uberx
How much is an uberx to usc,,usc,uberx
How much is an uberx to downtown la ,,downtown la,uberx
How much is an uberx to korean town ,,korean town,uberx
How much is an uberx to chinatown square ,,chinatown square,uberx
How much is an uberx to downtown crossing ,,downtown crossing,uberx
How much is an uberx to o'hare,,o'hare,uberx
How much is an uberx to 55 main street ,,55 main street,uberx
How much is an uberx to 201 hill street ,,201 hill street,uberx
How much is an uberx to 7 park avenue ,,7 park avenue,uberx
How much is an uberx to madison and 54th ,,madison and 54th ,uberx
How much is an uberx to halsted and 3rd ,,halsted and 3rd,uberx
How much is an uberx to main and 6th ,,main and 6th,uberx
How much is an uberx to pico robertson ,,pico robertson,uberx
How much is an uberx to sunset and vine ,,sunset and vine,uberx
How much is an uberx to 97 mass ave ,,97 mass ave,uberx
How much is an uberx to hull house ,,hull house,uberx
How much is an uberx to uic ,,uic,uberx
How much is an uberx to red line ,,red line,uberx
How much is an uberx to the union station ,,union,uberx
How much is an uberx to shake shack ,,shake shack,uberx
How much is an uberx to pantages theater ,,pantages theater,uberx
How much is an uberx to appleville ,,appleville,uberx
How much is an uberx to target ,,target,uberx
How much is an uberx to costco ,,costco,uberx
How much is an uberx to walmart in west covina ,,walmart in,uberx
How much is an uberx to burbank ikea ,,burbank ikea,uberx
How much is an uberx to komodos venice ,,komodos venice,uberx
what's the price with radiotaxi to go to Tin Factory?,,Tin Factory,radiotaxi
find the estimated fare in uber to reach Tin Factory,,Tin Factory,uber
Estimate cost of Uber to Tin Factory.,,Tin Factory,Uber
Tell me the fare of the car service Uber to the destination Tin Factory.,,Tin Factory,Uber
Uber service prices to Tin Factory.,,Tin Factory,Uber
How much will Pool cost me to be at the Tin Factory?,,Tin Factory,Pool
How much would it cost to Uber to Tin Factory?,,Tin Factory,Uber
How much is the Uber ride from here to Tin Factory?,here,Tin Factory,Uber
How much will it cost to take Uber from home to the Tin Factory?,Home,Tin Factory,Uber
How much is it to take an Uber to Tin Factory?,,Tin Factory,Uber
Tell me the fare of uber cabs between my location to Tin Factory,my location,Tin Factory,uber
Hey Aneeda get me the estimated fare of Uber SUV to reach Tin Factory,,Tin Factory,Uber SUV
How much is an uberx to Tin Factory,,Tin Factory,uberx
How much will it cost me to reach tin factory by uberx,,Tin Factory,uberx
How much will it cost me to reach tin factory by uberGo,,Tin Factory,UberGo
How much will it cost me to reach tin factory by uberPool,,Tin Factory,UberPool
How much will it cost me to reach tin factory by uberXL,,Tin Factory,UberXL
How much will it charge me to reach tin factory by uberx,,Tin Factory,uberx
How much will it charge me to reach tin factory by uberGo,,Tin Factory,UberGo
How much will it charge me to reach tin factory by uberPool,,Tin Factory,UberPool
How much is an uber from Tin Factory to 55 main street ,Tin Factory,55 main street,uber
How much is an uber from Tin Factory to 201 hill street ,Tin Factory,201 hill street,uber
How much is an uber from Tin Factory to 7 park avenue ,Tin Factory,7 park avenue,uber
How much is an uber from Tin Factory to madison and 54th ,Tin Factory,madison and 54th ,uber
How much is an uber from Tin Factory to halsted and 3rd ,Tin Factory,halsted and 3rd,uber
How much is an uber from Tin Factory to main and 6th ,Tin Factory,main and 6th,uber
How much is an uber from Tin Factory to pico Robertson ,Tin Factory,pico Robertson,uber
How much is an uber from Tin Factory to sunset and vine ,Tin Factory,sunset and vine,uber
How much is an uber from Tin Factory to 97 mass ave ,Tin Factory,97 mass ave,uber
How much is an uber from Tin Factory to hull house ,Tin Factory,hull house,uber
How much is an uber from Tin Factory to uic ,Tin Factory,uic,uber
How much is an uber from Tin Factory to red line ,Tin Factory,red line,uber
How much is an uber from Tin Factory to the union station ,Tin Factory,union,uber
How much is an uber from Tin Factory to shake shack ,Tin Factory,shake shack,uber
How much is an uber from Tin Factory to pantages theater ,Tin Factory,pantages theater,uber
How much is an uber from Tin Factory to appleville ,Tin Factory,appleville,uber
How much is an uber from Tin Factory to target ,Tin Factory,target,uber
How much is an uber from Tin Factory to Costco ,Tin Factory,Costco,uber
How much is an uber from Tin Factory to Walmart in west Covina ,Tin Factory,Walmart in,uber
How much is an uber from Tin Factory to burbank ikea ,Tin Factory,burbank ikea,uber
How much is an uber from Tin Factory to komodos Venice ,Tin Factory,komodos Venice,uber
How much is an uberx from Tin Factory to 3029 s Quinn ,Tin Factory,3029 s Quinn,uberx
How much is an uberx from Tin Factory to 77 mass ave,Tin Factory,77 mass ave,uberx
How much is an uberx from Tin Factory to mit ,Tin Factory,mit,uberx
How much is an uberx from Tin Factory to ucla,Tin Factory,ucla,uberx
How much is an uberx from Tin Factory to usc,Tin Factory,usc,uberx
How much is an uberx from Tin Factory to downtown la ,Tin Factory,downtown la,uberx
How much is an uberx from Tin Factory to korean town ,Tin Factory,korean town,uberx
How much is an uberx from Tin Factory to Chinatown square ,Tin Factory,Chinatown square,uberx
How much is an uberx from Tin Factory to downtown crossing ,Tin Factory,downtown crossing,uberx
