FindRecipe,recipe_name,recipe_excl,recipe_incl
Recipe for apple pie without cornstarch,apple pie,cornstarch,
How to cook chili chicken without tomato sauce,Chili chicken,Tomato sauce,
"How do I make tiramisu with mascarpone cheese, cream, vanilla extract and coffee, but without rum and egg yolks",tiramisu,rum and egg yolks,"mascarpone cheese, cream, vanilla extract, coffee"
"I want to cook some Cuban style black beans with onion ,bell peppers but no garlic",Cuban black beans,Garlic,"Onion, bell peppers"
Recipes for turkey chilli that include chilli powder but don't include pinto beans or carrots,turkey chilli,pinto beans or carrots,chilli powder
I would like to cook a vegetable curry which includes potato and tomato and doesn't include onion.,vegetable curry,onion,potato and tomato
"I would like to make egg bake casserole that includes eggs, cheese, potatoes and ham but does not contain bacon or green peppers.",Egg Bake Casserole,Bacon or green peppers,"Eggs, cheese, potatoes and ham"
Get me information on how to make spicy peanuts with using garlic salt but not using red pepper,spicy peanuts,red pepper,garlic salt
I would like a recipe for a carrot cake that uses pecans instead of walnuts,Carrot Cake,walnuts,pecans
I want to make a stir fry with chicken and mixed vegetables.,stir fry with chicken and mixed vegetables,,
I would like to cook chicken chilli soup which includes corn and garlic and does not include carrot,Chicken chilli soup,carrot,corn and garlic
Apple pie recipe without the use of butter,Apple pie,Butter,
"Search for recipes that include potatoes, mayonnaise and yams.",,,"Potatoes, mayonnaise, yams"
Show recipes for strawberry muffins without milk or eggs.,strawberry muffins,milk or eggs,
"I want to cook spaghetti bolognesi with tomato,garlic and cheese without milk.",Bolognesi,milk,"tomato,garlic and cheese"
"i would like to cook mango with chicken. which includes organic chicken, organic mango.",mango with chicken,,"organic chicken, organic mango"
Recipe for lasagna without tomato sauce,lasagna,tomato sauce,
search for soup recipe made of corn and onion without adding maida and butter,soup,maida and butter,corn and onion
i want to cook an omelette without any paprika and ham please,omelette,paprika and ham,
Look up shredded pork tacos that includes pork and salsa.,Shredded pork tacos,,pork and salsa
"I would like the ingredients and recipe for cooking a classic green bean casserole that includes green beans, cream of mushroom soup, and fried onions",Classic Green Bean Casserole,,"Green beans, cream of mushroom soup and fried onions"
I would like to cook chicken breast with no dairy ingredients,chicken breast,diary,
Recipe of grilled salmon with olives and bell peppers,Grilled Salmon,,Olives and Bell Peppers
Show me recipes that include rice and mushrooms,,,rice and mushrooms
I would like to bake a cake with nutella,Nutella cake,,Nutella
"I would like to make an oreo dessert recipe that is not baked with eggs but has whipped cream, cream cheese, sugar",Oreo dessert,Eggs,"Whipped cream, Cream cheese, Sugar"
"Can you find a recipe that uses ground beef, mixed frozen vegetables and diced tomatoes and no milk and hot sauce",,milk and hot sauce,"ground beef, mixed frozen vegetables and diced tomatoes"
"i love to cook fried rice which include sweet corn,carrot and onion but does not include green beans",fried rice,green beans,"sweet corn,carrot and onion"
seach chicken recipies low salt,,,chicken
"Show smoothie recipes with low fat Greek yogurt,blueberries without bananas",smoothies,bananas,"low fat Greek yogurt,blueberries"
find me a recipe for brownie with hazelnut in it.,brownie,,hazelnut
"Show me a recipe for hummus with  peppers, spices but no garlic",hummus,garlic,"peppers, spices"
"I want to know a recipe to cook a white fish, potato but without carrot.",,carrot,"white fish, potato"
"Find me a recipe for spaghetti with Bolognese sauce with tomato, meat and garlic.",Spaghetti with Bolognese sauce,,"Tomato, meat and garlic"
"Find a reciepe for Jalepeno Poppers that includes jalepenos, cream cheese and sausage.",Jalepeno Poppers,,"Jalepenos, cream cheese, and sausage"
How to make red thai curry with prawns,Red thai Curry,,Prawns
find recipes for baked macaroni and cheese,baked macaroni and cheese,,
Please search italian recipes that do not use tomatoes or tomato paste,,tomatoes or tomato paste,
"Show me the recipe for Chicken Pasta, using Chicken chunks and macaroni",Chicken Pasta,,"Chicken chunks, macaroni"
Show me recipe to make a Chocolate cake without using Eggs,Chocolate cake,Eggs,
"Recipes with cheese, egg, flour,salt as ingredients",,,"cheese, egg, flour,salt"
Deep dish pizza with sausage,deep dish pizza,,sausage
I would like to cook a tuna casserole with cheese but no onions.,Tuna casserole ,Onions,
i need a recipe for cake that includes chocolate but does not contain wheat,cake,wheat,chocolate
Please show me recipes for chicken and broccoli casserole which have rice,Chicken and Broccoli Casserole,,rice
SHOW ME A RECIPE FOR CHICKEN CURRY WITH ROASTED CHICKEN AND WITHOUT ANY SPICES.,CHICKEN CURRY,SPICES,ROASTED CHICKEN
I would like to bake an apple pie with cinnamon and Pillsbury pie crust,Apple pie,,cinnamon and Pillsbury pie crust
Search for a sweet potato noodle salad with spicy peppers that doesn't include tofu or chickpeas or beans,Sweet potato noodles,tofu or chickpeas or beans,spicy peppers
i would like to fish fry and fish curry using tamarind and drum stick,,,tamarind and drum stick
"Please find the recipe for chicken butter which includes onion, garlic but not tomato.",Chicken butter,,"onion, garlic"
"Find a recipe that uses chicken breast,onions, and rice", ,,"chicken breast,onions, and rice"
"I'd like to make stroganoff but I don't have sour cream, can you find me a recipe without it?",stroganoff,sour cream,
Please look up recipes for chocalate chip cookies with pecans,Chocolate chip cookies,,pecans
give me the receipe of mutton curry with ingredients,mutton curry,,
get me the recipe for chicken salad with hot pepper  but without mayonnaise,chicken salad,mayonnaise,hot pepper
"how can i cook chicken in my crock pot for dinner, including chicken, corn, and potatoes",,,"chicken, corn and potatoes"
I would like to make fried rice with chicken and without garlic,Fried rice,garlic,chicken
I would like to make creamy chicken lasagna which has cream cheese and mozzarella,creamy chicken lasagna,,Cream Cheese and Mozzarella.
"Search a recepie for chicken curry with chicken breasts and sour cream, but does not include garlic or olive oil",chicken curry ,garlic or olive oil, chicken breasts and sour cream
Show me a list of all of my dessert recipes.,dessert,,
Find a recipe for cinnamon rolls that has baking mix but no cream cheese.,cinnamon rolls,cream cheese,baking mix
show me recently used  ground pork recipes,,,graund pork
"find a recipe for meatloaf with ground turkey, onions, barbecue sauce.",Meatloaf,,"Ground turkey, onions, barbecue sauce"
Find recipe for chili with kidney beans and no onions or peppers,Chili,"onions, peppers",kidney beans
pizza recipe,pizza,,
find me a recipe for risotto without garlic,risotto,garlic,
"Get me a recipe for chicken salad which includes chicken, pepper and thyme  and doesn't want red chilly and oil",chicken salad ,red chilly and  oil.,"chicken, pepper and thyme"
"I would like to cook stuffing with sausage,apples.",stuffing,,"sausage,apples"
find oatmeal cookie recipe with chocolate chips,oatmeal cookie,,chocolate chips
I would like you to search for a tomato sauce recipe that uses ricotta cheese,tomato sauce,,ricotta cheese
"Please provide recipes for barbecued chicken using cilantro and brown sugar, but not ketchup or Worcestershire sauce",Barbecued chicken,ketchup or Worcestershire sauce,cilantro and brown sugar
"I would like to cook a green vegetable curry, using olive oil, green chili and slat",Green vegetable curry,,"olive oil, green chili and slat"
would like to cook a Chicken curry which includes Chicken and onion and tomato,Chicken curry,Oil and Tomato,Chicken
Show me a pancake recipe without buttermilk,pancake,buttermilk,
"I would like to cook chicken enchiladas which includes chicken, sour cream, and jalapenos",Chicken enchiladas,,"chicken, sour cream, and jalapenos"
Recipe for chicken soup with nutmeg,Chicken soup,,Nutmeg
I would like a Gluten-free pancakes using oats and flax and without milk or sugar,Gluten-free pancakes,milk or sugar,oats and flax
I would like to make a Veg pulav which includes carrots and cauliflower and cabbage and doesnot include Beans,Veg Pulav,beans,carrots and cauliflower and cabbage
I would like a salad recipe that includes tomatoes and onion.,Salad,,"Tomatoes,onion"
Tell me the recipe for spaghetti and meatballs minus onions .,spaghetti,onions,meatballs
"Show me recipes for tofu lasagna with garlic, onions and basil excluding parsley.",tofu lasagna,parsley,"garlic, onions and basil"
"Find a chocolate cake recipe that doesn't use milk and eggs, but does use rice flour and apple juice.",chocolate cake,milk and eggs,rice flour and apple juice
Let me know of recipe of paneer tikka masala which include butter but exclude sugar,Paneer tikka masala,Sugar,Butter
Please suggest some 20 minute recipes that use tomatoes and brocolli,,,"Tomatoes, brocolli"
Show me a recipe for chicken pot poe.,Chicken pot pie,,
"Search for spicy taco recipes, without using beef.",Spicy Taco,Beef,
"Search for pasta recipes that includes beef, tomatos and zucchini and excludes mushrooms",Pasta,Mushrooms,"beef, tomatos and zucchini"
look for burger recipes that include bacon,burger,,Bacon
"How would I make enchilada's using chicken instead of beef, red sauce",Enchilada's,"beef, red sauce",Chicken
Show me recipe for lamb pie,Lamb pie,,
Please search for a recipe for tofu with brocolli that doesn't include vegetable oil nor meat,tofu with brocolli,vegetable oil or meat,
How to prepare Mushroom masala without Garlic and Zinger,Mushroom masala,Garlic and Zinger,
"I would like to cook a chicken sandwich which includes olive oil, mayonnaise and no onions",chicken sandwich,onions,"olive oil, mayonnaise"
I want to make a sugar free apple pie,apple pie,sugar,
"Find Cassoulet Recipe using duck Confit, without pork.",Cassoulet,Pork,Duck confit
"I have some leftovers like beef, green peas and potatoes. Do you have any recipes to make something out of it?",,,"beef, green peas and potatoes"
I am looking for a recipe for Moussaka with lamb mince but without potatoes.,Moussaka,Potatoes,Lamb mince
what do i need to make pot roast? exclude ingredients,Pot roast,,
Search for pasta recipes that have vegetables but no meat.,Pasta,meat,
"I need a vegetarian soup recipe; should include some sort of beans, leafy greens. And no meat",soup,meat,"beans, leafy greens"
I would like to know how to cook butter chicken and rice in a rice cooker without oil or butter,butter chicken and rice,oil or butter,
show me the recipe to make chicken fried wings which include chicken wing and yogurt and oil and exclude onion and chillies,chicken fried wings,onion and chillies,chicken wing and yogurt and oil
