RestaurantSearchResponse,RestaurantSearchCuisine,RestaurantSearchLocation,RestaurantSearchPrice,RestaurantSearchSortBy
"show me the Ajisai Japanese Restaurant in Theater District, Manhattan, NY.",Ajisai Japanese,"Theater District, Manhattan, NY",,
Pizza Restaurant suggestions located in Illinois,Pizza,Illinois,,
Find me a Italian restaurant.,Italian,,,
Find Thai restaurants in the Beaverton area on Yelp.,Thai,Beaverton,,
"Find Italian restaurants in Boise, Idaho, that have reviews on Yelp.",Italian,"Boise, Idaho",,
Please find Italian restaurants in a 30 mile radius.,Italian,30 mile radius,,
Show soul food restaurants in chicago,soul food,chicago,,
"find sushi restaurant allentown, pa",sushi ,"Allentown, Pa",,
"Find the best Mexican restaurant in Winchester, Virginia",Mexican,"Winchester, Virginia",,
find Chinese restaurant near 60504,Chinese,60504,,
Look on yelp for mexican restaurants in salt lake city.,mexican,salt lake city,,
Where is the nearest Pei Wei restaurant?,Pei Wei,nearest,,
Help me locate the Pizza Hut near Manpada Road.,Pizza Hut,Manpada Road,,
Show me all the nearby restaurants here that offers seafood delicacies in Columbus.,seafood,Columbus,,
Search yelp for someone that sells pizza near me.,pizza,near me,,
Find me chinese food in oxford,chinese,oxford,,
Greek restaurant in my area,Greek,my area,,
Find restaurants near me on Yelp,,Near Me,,
"Find me seafood restaurants in the Pasadena, Maryland area.",seafood,"Pasadena, Maryland",,
find me nearest KFC in orchard road,KFC,orchard road,,
Indian vegetarian restaurants in San Francisco,indian vegetarian,San Francisco,,
can you help me find a restaurant near me that is cheap and sells pad thai,pad thai,near me,cheap,
Top 5 Thai Restaurants in Los Angeles from Yelp,Thai,Los Angeles,,
"Find all pizza places within five miles of Spencerport, New York.",pizza,"Spencerport, New York",,
"Find me italian food on yelp in Johnson City, Tennessee.",italian,"Johnson City, Tennessee",,
Help me find a Chinese restaurant in Austin.,Chinese,Austin,,
Find seafood restaurants within 40 miles of me,seafood,Within 40 miles of me,,
"Siri, find me the top rated Chinese food restaurants in Swansboro north carolina",Chinese,Swansboro north carolina,,
Find me a sandwich shop nearby my current location.,sandwich,nearby,,
Show me the best sushi resturant in New York on Yelp,sushi,New York,,best
Find me a japanese restaurant in Vancouver.,Japanese,Vancouver,,
search five star restaurants,,,,five star
"""Open Yelp and find the closest Burger King""",Burger King,closest,,
What are the best places to eat near me?,,near me,,
find pizza hut at Istanbul in yelp,pizza hut,Istanbul,,
Find top rated Italian restaurants on Yelp in Stratford CT,Italian,Stratford CT,,
Assist me in finding a Tex-Mex eatery within 15 miles of my location.,Tex-Mex,15 miles of my location.,,
Find Chinese food near me on Yelp,Chinese,Near me,,
Show me options for pizza restaurants in Hollywood ,pizza,Hollywood,,
Find nearby Chinese restaurants on Yelp,Chinese,nearby,,
Where is the best lobster roll in Newport?,Lobster roll,Newport,,
Restaurants that serve vegan in London.,vegan,London,,
Show me highly rated Italian restaurants in Brisbane,Italian,Brisbane,,
"Give me names of Chinese restaurants in Chicago, IL",Chinese,"Chicago, IL",,
Find Olive Garden restaurants in downtown Reno,Olive Garden,downtown Reno,,
Find me a burger restaurant on Yelp,burger,,,
Where is Ruby Tuesday in Baltimore City,Ruby Tuesday,Baltimore City,,
find restaurant on Thai food in delhi,Thai,delhi,,
What is the highest rated pizza place within 5 miles of me?,Pizza,within 5 miles,,highest rated
Find me the best chicken wings near me,chicken wings,near me,,
Use Yelp. Show me sushi restaurants near me.,sushi,near me,,
"Hi,Please find the best restaurant in near my office",,near my office,,best
Help me find the best Thai restaurant in San Diego.,Thai,San Diego,,best
Find restaurants around me on yelp,,Around me,,
WHAT ARE THE BEST CHINESE FOOD PLACES IN NORTH LAS VEGAS?,CHINESE,NORTH LAS VEGAS,,
Navigate me to the nearest KFC in hyderabad,KFC,Hyderabad,,
Find vegetarian Italian restaurants in Trivandrum,Italian,Trivandrum,,
Look in yelp for some italian food restaurant in Tampa,italian,Tampa,,
"Find restaurants with pizza at Times Square, New York on Yelp.",Pizza,"Times Square, New York",,
find me chinese restaurants near me,chinese,near me,,
Find restaurants near me,,near me,,
Chinese restaurants near my home,Chinese,near my home,,
best restaurants in my area on yelp,,my area,,best
"Find me Chinese buffets in Biloxi, Mississippi on Yelp",Chinese,"Biloxi, Mississippi",,
Find steak restaurants in New York,Steak,New York,,
find burger restaurant in New York City,burger,New York City,,
use yelp to find mexican restaurants near me,mexican,near me,,
Show me hamburger joints near me,hamburger,near me,,
Chinese  Cuisine Helsingborg,Chinese ,Helsingborg,,
Show me fast food restaurants in cape coral Florida,fast food,cape coral Florida,,
please find chinese restaurants nearby,chinese,nearby,,
Find Italian restaurants in Virginia Beach on Yelp,Italian,Virginia Beach,,
"restaurants near California College San Diego , San Diego Campus",,California College San Diego ,,
four star or better seafood restaurants south of boston,seafood,south of boston,,four star
Closest restaurants to me that have Filet Mignon.,Filet Mignon,closest,,
Find Olive Garden in Tupelo Mississippi on Yelp,Olive Garden,Tupelo Mississippi,,
Show me the nearest Chinese restaurant to my location.,Chinese,nearest,,
where to get mexican food,mexican,,,
"find indian restaurants on yelp in boston, massachusetts",indian,"boston, massachusetts",,
"Where is the closest Chicago's Pizza to Paragon, Indiana?",Chicago's Pizza,"Paragon, Indiana",,
"Find Mexican food near Chicago, IL",Mexican,"Chicago, IL",,
find a restaurant which has noodles right now in Los angeles,noodles,Los angeles,,
Find the chinese restaurants on Yelp Hollywood blvd crossing with Alabama blvd,chinese,Hollywood blvd crossing with Alabama blvd,,
Where is a good seafood restaurant in Seattle?,seafood,Seattle,,
Where are the nearest Italian restaurants in Budapest?,Italian,Budapest,,
Find restaurants near me that serve tacos.,tacos,near me,,
"Find restaurants in Murray,Kentucky please",,"Murray,Kentucky",,
"Thai restaurants in South Portland, Oregon",Thai,"South Portland, Oregon",,
Find me a good indian restaurant in London.,indian,London,,
Find best continental food restaurant near Imphal,Continental,Imphal,,
Can you find pizza near me on yelp for me?,pizza,near me,,
Search Yelp for Italian food near Philadelphia,Italian,Philadelphia,,
Show me Chinese restaurants in Switzerland,Chinese,Switzerland,,
find indian food restaurant near by,indian,near by,,
Find me a good indian restaurant around Dallas.,indian,Dallas,,
Chinese restaurant nearby,Chinese,nearby,,
find korean bbq in Albuquerque,korean bbq,albuquerque,,
Best restaurants in Washington DC,,Washington DC,,best
"ok google, show me yelp reviewed restaurants in stillwater, ok",,"Stillwater, OK",,
"Hi Siri, which is the best Chinese restaurant in Northern Virginia according to Yelp?",Chinese,Northern Virginia,,best
Find Chinese food restaurants reviews in Orange County.,Chinese,Orange County,,
"Siri, find me pizza restaurants for main street on yelp.",pizza,main street,,
Find Applebees in Yelp,Applebees,,,
Find a Mexican restaurant near me,Mexican,near me,,
chinese food new york yelp,chinese food,new york,,
Find mexican restaurant near me,mexican,Near me,,
Find me a Mexican restaurant with lunch specials on the Upper West Side in Manhattan.,Mexican,Upper West Side in Manhattan,,
Buffet along the route home,Buffet,Route home,,
Show me Chinese restaurants near me.,Chinese,Near me.,,
Mexican restaurant near me,Mexican,near me,,
Find me mexican restaurants on La grange road,Mexican,La Grange road,,
Show me Chinese restaurants in downtown San Francisco,Chinese,downtown San Francisco,,
"show me mexican restaurants in Hampton, va",mexican,"hampton, va",,
"Find Cafe Yumm reviews Vancouver, Washington",Cafe Yumm,"Vancouver, Washington",,
what seafood restaurants are within 10 miles of me and have good reviews,seafood,within 10 miles,,
"Siri, tell me what Mexican restaurants in Southport NC have good reviews on Yelp.",Mexican,Southport NC,,
Search the nearest casual restaurants.,,nearest,casual,
please find italian restaurants in columbia south carolina,italian,columbia south carolina,,
find me McDonalds restaurant in California that serves best burgers,McDonalds,California,,best
Find Japanese restaurants within 30 mile radius,Japanese,within 30 mile radius,,
"Yelp find chinese restaurant in Paterson, New Jersey.",chinese,"Paterson, New Jersey.",,
Veg restaurants in and around Aminjikarai,Veg,Aminjikarai,,
Find chinese food on yelp near my location,Chinese,Near my location,,
CHINESE FOOD NEAR ME,Chinese,NEAR ME,,
find thai cuisine restaurants in 2 mile radius,thai,2 mile radius,,
"Find pizza places in Columbia, SC",pizza,"Columbia, SC",,
Check Yelp for chinese restaurants nearby.,chinese,nearby,,
Local Italian restaurants in New York City,Italian,New York City,,
Find Thai food in Upland on Yelp,Thai,Upland,,
Find a restaurant that sells Pizza in Nigeria on Yelp,Pizza,Nigeria,,
Show me the best Indian restaurant near me on Yelp.,Indian,Near me,,
Find me a vegan restaurant in philly,vegan,Philly,,
Find yelp reviewed sushi restaurants near me,Sushi,near me,,
Find a nearby chinese restaurant on Yelp,chinese,nearby,,
Please find all restaurants on Yelp for zip code 24740.,,24740,,
Find me an indian restaurant on Yelp with 4 stars within 3 miles of my house,indian,within 3 miles of my house,,4 stars
search burgers joints nearby,burgers,nearby,,
Find restaurants in Columbia.,,Columbia,,
Find me vegan restaurants within 30km,vegan,within 30km,,
Indian Vegetarian Food restaurent  at Sydney Australia near Strathfield,Indian Vegetarian ,Sydney Australia near Strathfield,,
What is a good Italian restaurant near Central Park?,Italian,Central Park,,
Find me a Chinese restaurant in Paris,Chinese,Paris,,
open mexican restaurants in St. Cloud,mexican,St. Cloud,,
find chicken restaurants in the bay area,chicken ,bay area,,
Tell me about the nearest pho restaurants to my location.,pho,nearest ,,
"Find a mexican food restaurante in San Diego, California",mexican ,"San Diego, California",,
Find me Yelp links for Italian food places in New York,Italian,New York,,
Open yelp and look for best sushi restaurants near me,Sushi,Near me,,
show me italian restaurants near 5th avenue,italian,5th avenue,,
What is the best Italian restaurant in New York on Yelp?,Italian,New York,,
Where is the nearest Chinese restaurant to me?,Chinese,nearest,,
Find me burgers in my area on yelp,burgers,my area,,
Best restaurants near me colorado springs,,Colorado springs,,
find mcdonalds on yelp,mcdonalds,,,
"Where do I get hamburgers and fries in Lafayette,Indiana?",Hamburgers,"Lafayette,Indiana",,
Where can I get some cheeseburgers within 2 miles of my location?,Cheeseburgers,2 miles of my location,,
find chinese restaurant within 2 kilometers of current coordinates,chinese,2 kilometers,,
Hello. I'm looking for an Indian restaurant in Halifax.,Indian,Halifax,,
"Hey. Find the best rated Pizza Place in Weston, Florida according to Yelp",Pizza,"Weston, Florida",,best
Italian restaurants near 11224,Italian,11224,,
find restaurants near me on yelp,,near me,,
Find me a good Chinese restaurants in Daytona.,Chinese,Daytona,,
Find good seafood restaurants on yelp.,seafood,,,
"Find pizza restaurants in Oneonta, New York",pizza,"Oneonta, New York",,
can you help to find the restaurant near by for Indian fast food items?,Indian,near by,,
Where's the nearest Indian restaurant on Yelp.,Indian,Nearest,,
Where is there a chinese takeaway is in Oxford,Chinese,Oxford,,
Provide me the list of Subway restaurants in New York city serving quality subs,subway,New York city,,quality
find medium priced restaurants on Broadway,,Broadway,medium,
find jewish delis in midtown,jewish delis,midtown,,
top french restaurants at Paris,french,Paris,,top
Yelp Chinese food near me.,Chinese,near me,,
Find Korean barbeque restaurants in Los Angeles,korean barbeque,Los Angeles,,
Find the best rating  restaurant on yelp that serves Indian cuisine in New York's time square.,Indian,New York's Time Square,,best
Closest burger place,burger,closest,,
tell me best yelp restaurants,,,,best
Show me nearby restaurants.,,Nearby,,
Please find me 5 star rated steakhouses on Yelp located in Philadelphia,Steakhouses,Philadelphia,,5 star
"Siri, find me mexican food on Yelp in Phoenix",mexican,Phoenix,,
Open Yelp and find Chinese restaurants in my current area.,Chinese,current area,,
find breakfast at Pico Blvd Los Angeles,breakfast,Pico Blvd Los Angeles,,
Open Yelp and find closest japanese restaurants open now.,japanese,Closest,,
Find me the best sushi restaurants in Barcelona,sushi,Barcelona,,
pizza in courtice,pizza,courtice,,
What are some good Thai restaurants in Los Angeles?,Thai,Los Angeles,,
Where is the closest McDonalds?,McDonalds,closest,,
Find italian restaurants near me,italian,near me,,
find a 4 star or high rated italian restaurant within 25 miles,italian,within 25 miles,,4 star
Suggest an ethiopian restaurant in Regina Sask.,ethiopian ,Regina Sask,,
Find me Mexican food nearby.,Mexican ,nearby,,
Suggest me italian food restaurants with valet in LA.,Italian,LA,,
Show me restaurants reviews in near me on Yelp,,near me,,
Find a nice Chinese restaurant in my city on Yelp.,Chinese,My city,,
Find nearby Italian restaurants in Chicago.,Italian,Chicago,,
Find me the five nearest seafood restaurant within 5km,Seafood,Within 5km,,
"Find me restaurants in Bayonne, New Jersey that serve Chinese Food.",Chinese,"Bayonne, New Jersey",,
Macomb county restaurants near me,,Macomb County,,
"Find me Chinese restaurants near Littleton, CO",Chinese,"Littleton, CO",,
Can you reccommend a Mexican restaurant in Phoenix,Mexican,Phoenix,,
Which are the best Chinese restaurants within a 5 mile radius?,Chinese,5 mile radius ,,
List Chinese restaurants which are close to me.,Chinese,close,,
Find good places for brunch in Larchmont,brunch,Larchmont,,
What is the nearest Italian restaurant,Italian,nearest,,
Where can I get bagels in New York,bagels,New York,,
Which restaurant would you recommend for Spanish food in Anaheim,Spanish,Anaheim,,
What Japanese restaurant in Arlington TX has the best food?,japanese,Arlington,,
where can i find indian food,indian,,,
What's good to eat near me?,,near me,,
Get me some great Indian food places in Seattle,Indian,Seattle,,
Find highest rated McDonalds in Athens Georgia on Yelp,McDonalds,Athens Georgia,,highest rated
closest Italian restaurants,Italian,closest,,
spanish restaurants in access road greensboro,spanish,Access Road Greensboro,,
Recommend me a good restaurant near me.,,near me,,
What is the best vegetarian restaurant in Midtown,vegetarian,Midtown,,
Where in South Central can I get good Mexican food?,Mexican,South Central,,
What are restaurant recommendations in Yuba City,,yuba city,,
Search good fast food places nearby,fast food,,,
Open up yelp for me and list area restaurants,,,,
where can I find Mexican restaurants in Houston,Mexican,Houston,,
Where can I eat downtown ,,downtown,,
Find restaurants near my location,,near my location,,
Find a good fast food restaurant using Yelp.,fast food,,,
"What is a good steak restaurant in Colorado Springs, CO?",steak,"Colorado Springs, CO",,
Recommend Indian Resturants in my area,Indian,In my area,,
Provide me the details of Pizza Hut restaurant close to airport in Alabama,Pizza Hut,airport in Alabama,,
What is the highest rated Chinese restaurant on Yelp in my area?,Chinese,my area,,highest rated
What are the best Chinese restaurants in Boston,Chinese,Boston,,best
Where are there pizza places in chicago,pizza,chicago,,
"What restaurants are in Columbia, Maryland?",,"Columbia, Maryland",,
"Give me all of the Italian restaurants in Boston, Massachusetts.",Italian,"Boston, Massachusetts",,
"What is the best rated restaurant in Billings, Montana on Yelp.",,"Billings, Montana",,best rated
find a good pizza place,pizza,,,
"OK Google, find restaurants on Yelp.",,,,
Find me the best Middle Eastern restaurants in Victoria London,Middle Eastern,Victoria London,,
Show me a great restaurant that is less than 2 miles from my location.,,2 miles,,
What are some highly rated Chinese restaurants near my current location,Chinese,my current location,,
fiind chinese restaurant in high wycombe,chinese,high wycombe,,
Show me the cheapest sushi restaurants nearby,sushi,nearby,cheapest,
What are the best rated yelp restaurants in the area,,,,best rated
Mexican restaurants near me with great reviews,Mexican,near me,,
What are the best restaurants within a 10 mile radius.,,10 mile,,best
find the closest Burger King,Burger King,closest,,
Show me pizza parlors in downtown Richmond,pizza,downtown Richmond,,
"Search for ramen in Henderson, Nevada",ramen,"Henderson, Nevada",,
Look for some French restaurants in Venice Beach,French,Venice Beach,,
What Mexican restaurants are around me?,Mexican,,,
Find out which restaurants are providing seafood in San Francisco on Yelp,Seafood,San Francisco,,
Where can I get russian food in Los Angeles,russian,Los Angeles,,
Can you find a high rated Chinese restaurant in Milwaukee?,Chinese,Milwaukee,,high rated
Yelp reviews for nearby Mexican restaurants,Mexican,nearby,,
Show Indian resteraunt in New York City,Indian,New York City,,
Help me find an Italian restaurant within 8 miles of here,Italian,Within 8 miles,,
Where can I get pancakes on Sunset,pancakes,sunset,,
Show me top Ethiopian restaurants in New York,Ethiopian ,New York,,
Show me yelp ratings for Chinese restaurants near me,Chinese,near me,,
Find restaurants open in an hour with more than 4 stars in Chelsea,,Chelsea,,more than 4 stars
How many yelp reviewed chinese food restaurants are near me?,chinese,near me,,
What are the best restaurants for Mexican food in Williamsburg?,Mexican,williamsburg,,
What Mexican restaurant is by ol wood in Denver?,Mexican,ol wood in Denver,,
Find restaurants on Yelp that serve sushi near me,sushi,near me,,
"what is the best pizza joint in maysville, ky",pizza,"maysville, ky",,
What are the best reviewed local restaurants on Yelp?,,,,best
yelp best pizza place in town,pizza,,,best
show me thai restaurant with at least 100 reviews and with highest rating.,thai,,,highest rating
Look for Italian restaurants in Makati with good reviews.,Italian,Makati,,
ratings for local pizza restaurants,pizza,,,
Hi. I want to eat Indian food in Florida. Are there any places ?,Indian,Florida,,
Best restaurants serving chinese food,chinese,,,best
Get me restaurants in Raleigh with 3 stars or higher,,Raleigh,,3 stars or higher
are there any gastropubs near me in houston,gastropubs,houston,,
Are there any 4 star Yelp Teriyaki places around?,Teriyaki,Around,,4 star
Give me a list of restaurant names nearby.,,nearby,,
"find highest rated vegan restaurant in orlando, fl",vegan,"orlando, fl",, highest rated
"Restaurants near Knoxville, TN",,"Knoxville, TN",,
What are good places to eat ramen in Pittsburg,ramen,Pittsburg,,
"Recommend Yelp highly rated Italian restaurants in Austin, Texas.",Italian,"Austin, Texas",,highly rated
can you advise me an italian restaturant in windsor,italian,windsor,,
Find me vietnamese restaurants in Beverly Hills area,vietnamese,Beverly Hills,,
Can you find me a good Greek restaurant in Los Angeles on Yelp?,Greek,Los Angeles,,
What restaurants are near me?,,Near me,,
Please let me know where I can get some seafood locally,seafood,locally,,
yelp restaurant recommendations near me,,near me,,
find yelp restaurants with the best reviews,,,,best
Find Filipino restaurants in New York on Yelp.,Filipino,New York,,
I want to eat italian food,Italian,,,
Please search for restaurants with only 3 stars,,,,3 stars
Find cheap resturants near me,,Near me,cheap,
Find a mexican restaurant in the Detroit Metro area,mexican,Detroit Metro ,,
Pull up Yelp and find me somewhere good to eat that is by me.,,by me,,
"Find restaurants in Bloomington, IN with a rating of 4 stars or more.",,"Bloomington, IN",,4 stars or more
Find me chinese restaurant ratings in Atlanta,chinese,Atlanta,,
Places to eat Spaghetti,spaghetti,,,
i want mexican food,mexican,,,
find mexican food near brooklyn,mexican,brooklyn,,
Open Yelp and find a Chinese restaurant in Nashville.,Chinese,Nashville,,
restaurant for traditional food in arizona,traditional,Arizona,,
Where's the closest sushi to me?,sushi,closest,,
Give me Yelp recommendations,,,,
Show me top restaurants around Huntington Beach that are inexpensive,,Huntington Beach,inexpensive,
"Navigate me to the most popular Japanese Restaurant in Midtown West, NY.",Japanese,"Midtown West, NY",,most popular
Best pizza restaurants in illinois,pizza,illinois,,
Find a 5 star italian restaurant,italian,,,5 star
Show me Thai restaurants around Beaverton listed on Yelp.,Thai,Beaverton,,
Find restaurants nearby that are reviewed on Yelp.,,Nearby,,
Please find 5 star review Italian restaurants in a 30 mile radius.,Italian,30 mile radius,,5 star
Find me some great noodle places nearby,noodle,nearby,,
"find sushi restaurant that takes reservations in Allentown, pa area",sushi,"Allentown, Pa",,
"What are the best restaurants in the city of Winchester, Virginia",,"Winchester, Virginia",,best
find Chinese restaurant near me,Chinese,near me,,
Are there any new mexican places in provo?,mexican,provo,,
Get me a list of top American restaurants in Miami,American,Miami,,
Help me locate the best Pizza restaurant nearby.,pizza,nearby,,
What are the nearby restaurants here that offers seafood delicacies in Columbus.,seafood,Columbus,,
Find me somewhere to eat a pizza.,pizza,,,
closest Chinese food in oxford,Chinese,oxford,,
Best greek restaurant close to me,greek,close to me,,
Search for Chinese food near me on Yelp,Chinese,Near Me,,
Show me restaurants with salad bars,salad,,,
where is KFC in orchard road,KFC,Orchard road,,
Top vegetarian restaurantin San Francisco,vegetarian,San Francisco,,top
give me choices on different thai restaurants,thai,,,
Open Yelp search Top 5 Thai restaurants in Los Angeles,Thai,Los Angeles,,top
"Find the highest reviewed pizza place in Spencerport, New York.",pizza,"Spencerport, New York",,highest reviewed
"Yelp, find me italian food nearby",italian,nearby,,
What Chinese restaurants does Yelp recommend?,Chinese,,,
Find the closest restaurants to home,,home,,
show me top rated resturants near me,,near me,,top rated
I need a fancy date-night restaurant in south Arvada.,,Arvada,fancy,
show me where I can eat the best sushi in New York on Yelp,sushi,New York,,best
What's the best japanese restaurant in Vancouver,japanese,Vancouver,,best
What's the best burger places around here,burger,around here,,best
Find food trucks in Hollywood,food trucks,Hollywood,,
Top pizza places near me.,pizza,near me,,top
pizza hut in istanbul,pizza hut,Istanbul,,
Find Yelp reviews for Italian restaurants in Stratford CT,Italian,Stratford CT,,
"Are there any Tex-Mex restaurants in Harrisburg, PA?",Tex-Mex,"Harrisburg, PA",,
Find restaurants close to me on Yelp,,close to me,,
get me restaurants that serve armenian food,armenian,,,
Find restaurants near me,,near me,,
"Please find a seafood restaurant in Newport, RI",seafood,"Newport, RI",,
Vegetarian Food In London Restaurant,vegetarian,London,,
What are the best restaurants near here?,,near here,,best
"I would like Chinese Restaurant locations in Chicago, IL",Chinese,"Chicago, IL",,
Are there any Taiwanese restaurants in Downtown Reno,Taiwanese,Downtown Reno,,
Give me some good recommendations for burgers.,burgers,,,
What's the closest restaurant to me,,restaurant,,
give restaurant list on Thai food at delhi,Thai,delhi,,
What is the closest 4 star or higher pizza place near me?,pizza,near me,,4 star or higher
highest rated chicken wings,chicken wings,,,highest rated
What Japanese restaurants are around here?,Japanese,around here,,
"Siri, find me 5 different restuarants that serve Chinese food that are open now.",Chinese,,,
I'm hungry for some pizza ,pizza,,,
