CorrectionResponse,CorrectionType,for_classifier
it was a song from britney spears new album,song,0
it was the last song from janet jackson,song,0
it was the song by the artist bryan adams,song,0
it's a big song by adina howard,song,0
it's a song and it's by nirvana,song,0
it's a song by nate dogg,song,0
it's a song by sum 41,song,0
it's a song by the artist sheryl crow,song,0
it's a song from u2,song,0
it's a song off the album off the wall,song,0
it's an old song by soundgarden,song,0
it's by timmy t it's a song,song,0
it's song,song,0
it's the famous song by aretha franklin,song,0
it's the song,song,0
it's the song by green day,song,0
it's the song from destiny's child,song,0
it's the song from migos,song,0
Let's hear the song instead,song,0
madonna the song,song,0
not the right song,song,0
not this hello song,song,0
not this song,song,0
not this song ,song,0
remember the time the song,song,0
song by adele,song,0
song by adina howard,song,0
song by justin bieber ,song,0
song called sorry,song,0
song from anti by rihanna,song,0
song from the dangerous album by the artist michael jackson,song,0
song make you feel my love from the album 19,song,0
song please,song,0
that new song from usher,song,0
that song from no doubt,song,0
that would be song,song,0
that would be the song,song,0
the 90s song from montell jordan,song,0
the new song by zedd,song,0
the new song that kendrick lamar did,song,0
the p diddy song,song,0
the prince song,song,0
the song,song,0
the song big pimpin,song,0
the song black hole sun from soundgarden,song,0
the song by black eyed peas,song,0
the song by drake,song,0
the song by eminem,song,0
the song by paul mccartney,song,0
the song by rihanna with kanye west,song,0
the song by the artist sleep,song,0
the song from the album the power of love by the artist celine dion,song,0
the song hello by adele from album 21,song,0
the song hotline bling from the album views,song,0
the song sung by Mariah Carey,song,0
the song that matchbox 20 did,song,0
the song that will.i.am did,song,0
there was a song from black eyed peas,song,0
there's a rihanna song,song,0
this is not the right song,song,0
this is the wrong song,song,0
this isn't the song,song,0
this isn't the song I wanted,song,0
uma thurman the song by green day,song,0
bad the song,song,0
it's my birthday the song,song,0
believe the song,song,0
one the song by u2,song,0
24k magic the song,song,0
wrong song,song,0
the song on the run with beyonce on it,song,0
it was the song with jay-z,song,0
it's the song with the coors,song,0
I did not want that,,1
I didn't want this,,1
I didn't ask for this,,1
I didn't mean this,,1
I didn't want this,,1
I do not want this,,1
I don't want this,,1
I don't want this one,,1
incorrect,,1
it's not it,,1
it's wrong,,1
no not this,,1
no something else,,1
no this isn't it,,1
nope not it,,1
nope not right ,,1
nope not the correct one,,1
nope not this,,1
nope this is not it,,1
not correct  ,,1
not that ,,1
not that one,,1
not the correct one,,1
not the one,,1
not this ,,1
not this hello,,1
not this mya,,1
not this one,,1
not this version,,1
not what I meant,,1
sorry this is not it,,1
sorry this isn't it,,1
this ain't it ,,1
this is incorrect,,1
this is not correct,,1
this is not it,,1
this is not the correct one,,1
this is not the hello I want,,1
this is not the one,,1
this is not the right one,,1
this is not the sorry I wanted,,1
this is not the thing I wanted ,,1
This is the wrong one,,1
this is the wrong thing,,1
this is wrong,,1
this isn't correct,,1
This isn't right,,1
this isn't the one,,1
this isn't the one I want,,1
this isn't what I asked for,,1
This isn't what I requested,,1
this isn't what I wanted,,1
this not it ,,1
this wasn't the one I wanted,,1
this wrong,,1
um not this,,1
wrong,,1
wrong aneeda,,1
wrong one,,1
wrong one aneeda,,1
wrong thing,,1
wrong wrong,,1
you got it wrong,,1
you got the wrong one,,1
you played the wrong one,,1
you played the wrong thing,,1
you're playing the wrong one,,1
You're playing the wrong thing,,1
you've got it wrong,,1
